na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1GQ,PCH_Q1_SCA,SI	0.2 	0.5 	0.9 	0.9 	1.4 	0.6 	1.7 	1.4 	1.0 	2.0 	0.5 	0.8 
B1GQ,PCH_Q1_SCA,UK	0.4 	0.7 	0.3 	0.2 	0.5 	0.7 	0.4 	0.3 	0.4 	0.4 	0.1 	0.4 
B1GQ,PCH_Q4_NSA,AL	3.2 	2.3 	3.7 p	3.2 p	2.3 p	4.3 p	3.9 p	4.2 p	3.6 p	3.6 p	4.5 p	4.3 p
B1GQ,PCH_Q4_NSA,AT	1.6 	1.2 	2.5 	2.2 	1.4 	2.1 	3.0 	2.3 	2.5 	2.4 	3.7 	2.7 
B1GQ,PCH_Q4_NSA,BE	1.3 	1.4 	1.2 	1.5 	1.5 	1.4 	1.8 	1.5 	1.6 	2.0 	1.4 	1.5 
B1GQ,PCH_Q4_NSA,BG	3.7 	3.5 	4.2 	4.5 	3.0 	4.3 	3.8 	3.8 	4.3 	3.4 	3.5 p	3.2 p
B1GQ,PCH_Q4_NSA,CH	1.3 	0.7 	1.4 	2.5 	1.7 	0.9 	1.2 	1.0 	1.7 	2.5 	2.9 	3.4 
B1GQ,PCH_Q4_NSA,CY	2.0 	3.5 	3.9 	4.6 	4.8 	5.9 	4.4 	4.4 	4.6 	3.6 	3.9 	3.9 
B1GQ,PCH_Q4_NSA,CZ	5.1 	5.1 	3.1 	3.5 	1.6 	1.7 	3.6 	3.6 	4.9 	4.9 	3.4 	2.7 
B1GQ,PCH_Q4_NSA,DE	1.8 	2.1 	2.0 	3.7 	1.9 	1.4 	3.4 	0.9 	2.2 	2.2 	1.4 	2.3 
B1GQ,PCH_Q4_NSA,DK	1.0 	0.4 	0.7 	2.4 	1.8 	2.9 	5.1 	1.8 	1.0 	1.3 	-1.5 	1.5 
B1GQ,PCH_Q4_NSA,EA	2.1 	2.3 	2.0 	2.5 	1.6 	1.7 	2.7 	1.9 	2.5 	2.5 	2.1 	2.3 
B1GQ,PCH_Q4_NSA,EA19	2.1 	2.3 	2.0 	2.5 	1.6 	1.7 	2.7 	1.9 	2.5 	2.5 	2.1 	2.3 
B1GQ,PCH_Q4_NSA,EE	2.0 	1.1 	3.8 	2.2 	3.5 	4.4 	4.9 	5.8 	3.9 	4.8 	3.3 	3.7 
B1GQ,PCH_Q4_NSA,EL	-2.4 p	0.7 p	-0.3 p	-0.6 p	1.1 p	-1.3 p	0.7 p	1.4 p	1.5 p	1.8 p	2.6 p	1.8 p
B1GQ,PCH_Q4_NSA,ES	4.0 	3.9 	3.8 p	3.5 p	3.2 p	2.3 p	2.7 p	3.3 p	2.7 p	3.2 p	2.8 p	2.5 p
B1GQ,PCH_Q4_NSA,EU28	2.3 	2.5 	2.2 	2.5 	1.6 	1.8 	2.6 	2.0 	2.7 	2.4 	2.2 	2.3 
B1GQ,PCH_Q4_NSA,FI	-0.1 	0.7 	2.3 	2.4 	2.8 	2.5 	4.2 	2.7 	2.1 	2.3 	2.6 	2.7 
B1GQ,PCH_Q4_NSA,FR	0.8 	1.2 	1.4 	1.6 	0.7 	1.0 	1.7 	1.6 	2.5 	2.8 	2.0 	1.6 
B1GQ,PCH_Q4_NSA,HR	3.8 	2.3 	3.3 	3.2 	3.7 	4.0 	2.9 	3.2 	3.4 	2.2 	2.5 	2.9 
B1GQ,PCH_Q4_NSA,HU	2.9 	3.7 	1.4 	3.1 	2.6 	2.0 	4.5 	3.5 	4.1 	4.5 	4.5 	4.9 
B1GQ,PCH_Q4_NSA,IE	24.5 	25.3 	2.4 	3.3 	1.4 	12.7 	2.9 	6.2 	13.2 	6.5 	9.3 	9.0 
B1GQ,PCH_Q4_NSA,IS	2.6 	3.7 	4.2 	4.4 	10.1 	10.3 	6.2 	4.7 	3.4 	2.0 	5.6 	7.2 
B1GQ,PCH_Q4_NSA,IT	0.9 	1.4 	1.4 	1.5 	0.9 	0.8 	2.3 	1.4 	1.3 	1.3 	1.2 	1.5 
B1GQ,PCH_Q4_NSA,LT	2.2 	2.5 	2.1 	1.6 	1.9 	3.8 	4.6 	4.5 	3.7 	3.8 	3.7 	3.8 
B1GQ,PCH_Q4_NSA,LU	2.4 	2.0 	0.1 	3.6 	4.4 	1.5 	2.9 	0.1 	0.5 	2.7 	3.3 	3.1 
B1GQ,PCH_Q4_NSA,LV	3.8 	2.8 	2.6 	2.4 	0.5 	2.9 	4.3 	4.4 	5.5 	4.3 	4.0 	5.3 
B1GQ,PCH_Q4_NSA,MK	4.8 	6.7 	3.6 p	2.3 p	2.4 p	3.3 p	0.0 e	-1.3 e	0.2 e	1.2 e	0.1 e	3.1 e
B1GQ,PCH_Q4_NSA,MT	9.3 	9.4 	6.8 	4.6 	4.8 	4.8 	7.0 	6.9 	7.3 	5.5 	4.9 	5.9 
B1GQ,PCH_Q4_NSA,NL	2.5 	1.4 	2.3 p	2.4 p	2.1 p	2.0 p	3.0 p	2.9 p	2.8 p	2.7 p	2.8 p	3.1 p
B1GQ,PCH_Q4_NSA,NO	3.0 	0.7 	0.9 	2.9 	-1.0 	1.9 	4.5 	-1.0 	2.9 	1.6 	-0.7 	3.3 
B1GQ,PCH_Q4_NSA,PL	3.5 	4.6 	2.9 	3.4 	2.2 	3.3 	4.7 	4.2 	5.4 	4.4 	5.1 	5.0 
B1GQ,PCH_Q4_NSA,PT	1.9 	1.8 	1.6 	1.6 	2.0 	2.5 	3.5 	2.7 	2.7 	2.4 	1.7 	2.2 
B1GQ,PCH_Q4_NSA,RO	3.8 	4.0 	4.3 p	6.0 p	4.3 p	4.8 p	5.7 p	6.1 p	8.8 p	6.7 p	4.0 p	4.1 p
B1GQ,PCH_Q4_NSA,RS	2.2 	1.3 	3.8 	2.0 	2.8 	2.7 	1.1 p	1.6 p	2.3 p	2.4 p	4.9 p	4.8 p
B1GQ,PCH_Q4_NSA,SE	4.8 	5.2 	3.0 	3.9 	1.9 	1.8 	3.0 	1.2 	2.1 	2.2 	2.3 	3.0 
B1GQ,PCH_Q4_NSA,SI	2.0 	2.7 	2.6 	3.3 	3.3 	3.0 	4.8 	4.2 	4.2 	6.3 	4.5 	3.8 
B1GQ,PCH_Q4_NSA,SK	3.9 	4.6 	3.7 	3.9 	2.7 	3.2 	3.0 	3.7 	3.4 	3.5 	3.6 	4.2 
B1GQ,PCH_Q4_NSA,TR	5.8 	7.5 	4.8 	4.9 	-0.8 	4.2 	5.3 	5.3 	11.5 	7.3 	7.3 	5.2 
B1GQ,PCH_Q4_NSA,UK	2.6 	2.4 	2.6 	1.9 	1.1 	1.6 	1.5 	1.7 	2.2 	1.6 	2.1 	1.0 
