indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,LV	-1.6 	-2.0 	-1.0 	-0.5 	-0.9 	0.4 	-0.3 	-1.8 	-2.1 	-2.6 	-1.6 	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,NL	-2.8 	-3.5 	-4.0 	-2.5 	-3.7 	-3.2 	-3.3 p	-1.6 p	-2.3 p	-2.2 p	-1.0 p	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_CAG,NSA,PCH_M12_NSA,SE	-1.5 	-1.8 	-1.0 	-0.6 	0.5 	2.0 	2.1 	3.4 	2.8 	3.4 	4.9 	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,SI	0.1 	0.0 	-0.3 	-1.9 	-0.3 	-0.2 	-0.3 	-0.5 	0.0 	0.7 	0.6 	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,SK	-2.0 	-3.1 	-3.5 	4.8 	5.1 	5.1 	5.2 	6.3 	6.9 	6.9 	: 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,CH	1.8 	0.3 	0.0 	-0.2 	0.0 	-0.3 	1.0 	-0.2 	0.0 	-0.1 	0.0 	-0.3 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,DE	0.1 	0.1 	-0.1 	-0.2 	0.0 	-0.1 	0.0 	0.3 	0.2 	-0.1 	0.1 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,DK	0.0 	0.1 	-0.2 	0.1 	-0.5 	0.0 	0.3 	-0.2 	0.7 	0.1 	0.0 	0.3 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,EA19	0.0 	0.0 	-0.1 	0.1 	-0.1 	0.0 	0.0 	0.3 	0.2 	0.0 	: 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,EE	0.0 	-0.1 	0.0 	-0.3 	0.3 	0.0 	0.2 	0.3 	0.3 	-0.1 	-0.1 	0.1 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,EL	0.0 	0.0 	0.1 	0.0 	-0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,ES	0.1 	0.2 	-0.2 	-0.1 	0.0 	0.0 	0.1 	0.3 	0.1 p	0.0 p	0.0 p	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,FI	0.1 	0.1 	0.0 	0.0 	0.0 	-0.3 	-0.1 	0.4 	-0.2 	-0.2 	0.1 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,FR	-0.3 	0.0 	-0.1 	0.0 	0.0 	0.1 	0.1 	0.2 	0.3 p	0.1 p	-0.1 p	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,IT	0.0 	0.0 	-0.2 	0.1 	0.1 	-0.2 	0.1 	-0.3 	0.7 	0.3 	0.1 p	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,LT	0.2 	-0.5 	0.3 	-0.5 	-0.2 	-0.6 	0.4 	-0.2 	-0.5 	0.5 	: 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,LV	0.1 	-0.4 	1.1 	-0.1 	0.0 	0.6 	-0.5 	-0.7 	-0.2 	-0.8 	0.6 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,NL	0.2 	-0.4 	0.3 	-0.3 	-0.7 	-0.2 	-0.4 p	0.9 p	0.0 p	-0.4 p	0.5 p	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_CAG,NSA,PCH_M1_NSA,SE	-0.7 	0.4 	2.1 	-0.1 	-0.7 	1.4 	0.6 	1.9 	0.1 	0.8 	-0.5 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,SI	0.7 	-0.1 	0.4 	-1.0 	0.6 	0.0 	-0.3 	0.2 	0.1 	0.1 	0.5 	: 
IMPR,MIG_CAG,NSA,PCH_M1_NSA,SK	-0.1 	0.0 	-0.4 	7.3 	0.0 	-0.6 	0.3 	0.6 	0.2 	0.1 	: 	: 
