indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,MIG_NDCOG,NSA,I2015_NSA,SI	102.7 	102.8 	102.7 	102.3 	101.2 	101.1 	101.5 	101.3 	100.8 	100.6 	101.0 	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,SK	104.1 	104.0 	103.8 	101.4 	101.7 	101.2 	101.2 	100.9 	101.0 	101.3 	: 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,CH	0.9 	1.2 	1.8 	1.8 	1.8 	0.7 	0.6 	0.0 	0.3 	0.4 	0.6 	-0.6 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,DE	0.3 	-0.2 	-1.0 	-1.7 	-1.5 	-1.3 	-1.1 	-0.2 	0.1 	0.2 	0.9 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,DK	0.5 	-0.6 	-1.1 	-1.8 	-1.5 	-1.1 	-1.1 	-0.2 	0.8 	0.7 	0.6 	-0.7 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,EA19	-0.3 	-0.6 	-1.3 	-1.9 	-2.2 	-2.0 	-2.0 	-1.3 	-0.9 	-0.8 	: 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,EE	3.6 	3.6 	2.9 	1.2 	0.8 	-0.2 	-0.4 	-0.8 	-0.2 	-0.9 	-0.7 	-0.7 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,EL	-0.2 	-0.7 	-0.8 	-1.0 	-1.0 	-0.9 	-1.0 	-0.8 	-0.9 	-0.8 	-0.7 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,ES	-0.8 	-1.4 	-2.2 	-2.6 	-2.8 	-2.6 	-2.7 	-1.4 	-0.5 p	-0.3 p	0.3 p	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,FI	1.4 	1.0 	0.3 	0.2 	-1.3 	-1.1 	-0.9 	0.0 	0.7 	0.6 	1.0 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,FR	-1.3 	-1.3 	-1.8 	-2.4 	-2.4 	-2.3 	-2.3 	-1.8 	-1.4 p	-1.5 p	-1.1 p	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,IT	0.1 	-0.4 	-0.6 	-1.1 	-1.3 	-1.1 	-1.5 	-1.7 	-1.4 	-1.2 	-1.2 p	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,LT	0.6 	0.0 	-0.6 	-1.0 	-1.1 	-1.3 	-1.6 	-1.9 	-1.6 	-1.5 	: 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,LV	-0.9 	-0.4 	-0.6 	-1.4 	-0.8 	-1.3 	-1.3 	-1.5 	-1.9 	-1.2 	-1.3 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,NL	-1.1 	-1.2 	-2.3 	-2.8 	-3.5 	-2.9 	-3.0 p	-1.0 p	-0.3 p	-0.6 p	0.3 p	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,SE	0.9 	-0.2 	-0.4 	-1.5 	-0.9 	0.2 	0.9 	1.6 	0.7 	0.9 	3.4 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,SI	0.7 	1.1 	0.5 	-0.3 	-1.4 	-1.7 	-1.7 	-1.8 	-1.5 	-1.8 	-1.7 	: 
IMPR,MIG_NDCOG,NSA,PCH_M12_NSA,SK	2.7 	2.6 	2.1 	-0.6 	-0.8 	-0.9 	-2.1 	-2.7 	-3.3 	-2.8 	: 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,CH	-0.1 	0.3 	0.5 	0.0 	0.0 	-1.1 	-0.1 	-0.4 	0.5 	0.0 	0.3 	-0.5 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,DE	0.2 	0.1 	-0.2 	-0.5 	0.1 	0.1 	0.2 	0.6 	0.1 	-0.1 	0.2 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,DK	0.1 	-0.6 	-0.3 	-0.3 	0.1 	-0.3 	-0.2 	0.4 	0.9 	0.1 	-0.1 	-0.5 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,EA19	0.0 	0.1 	-0.3 	-0.6 	-0.2 	0.1 	0.0 	0.4 	0.2 	-0.1 	: 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,EE	0.4 	0.4 	-0.6 	-1.0 	0.1 	-0.1 	0.3 	-0.1 	-0.3 	-0.3 	0.0 	0.6 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,EL	0.1 	-0.3 	0.0 	-0.1 	-0.7 	0.1 	-0.1 	0.1 	0.0 	0.1 	0.0 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,ES	-0.1 	0.2 	-0.1 	-0.7 	-0.2 	0.1 	0.0 	0.7 	0.3 p	-0.1 p	0.3 p	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,FI	0.3 	-0.1 	-0.5 	0.1 	0.2 	0.2 	0.0 	1.2 	0.2 	-0.1 	0.0 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,FR	-0.2 	0.0 	-0.4 	-0.8 	0.0 	-0.1 	-0.1 	0.3 	0.3 p	0.0 p	0.2 p	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,IT	0.0 	-0.2 	-0.1 	-0.4 	-0.2 	0.3 	-0.2 	-0.3 	0.1 	0.1 	-0.1 p	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,LT	0.2 	-0.6 	-0.3 	-0.2 	-0.4 	0.0 	-0.1 	-0.3 	0.2 	0.3 	: 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,LV	-0.4 	0.3 	-0.6 	-0.8 	0.7 	-1.1 	0.0 	-0.2 	0.4 	0.4 	-0.3 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,NL	0.2 	0.4 	-0.5 	-0.8 	-0.4 	0.3 	-0.1 p	1.3 p	0.4 p	-0.6 p	0.1 p	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,SE	0.0 	0.5 	1.4 	-0.7 	-1.3 	1.0 	0.8 	1.9 	-0.2 	0.5 	0.1 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,SI	0.0 	0.1 	-0.1 	-0.4 	-1.1 	-0.1 	0.4 	-0.2 	-0.5 	-0.2 	0.4 	: 
IMPR,MIG_NDCOG,NSA,PCH_M1_NSA,SK	0.1 	-0.1 	-0.2 	-2.3 	0.3 	-0.5 	0.0 	-0.3 	0.1 	0.3 	: 	: 
