unit,s_adj,asset10,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CLV_PCH_PRE,SCA,N1131G,AT	18.3 	2.5 	9.7 	-0.1 	-4.8 	10.4 	3.5 	4.7 	-1.5 	0.0 	-7.3 	16.7 
CLV_PCH_PRE,SCA,N1131G,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_PRE,SCA,N1131G,BG	4.0 	-1.0 	7.8 	-2.7 	-1.6 	-2.6 	-16.2 	3.4 	-5.5 	2.1 	8.3 p	0.0 p
CLV_PCH_PRE,SCA,N1131G,CY	: 	: 	: 	: 	-95.3 	1169.6 	-18.8 	-97.4 	: 	: 	: 	: 
CLV_PCH_PRE,SCA,N1131G,CZ	4.7 	2.0 	-0.1 	5.7 	1.5 	0.8 	-1.6 	2.0 	1.6 	2.0 	4.1 	3.8 
CLV_PCH_PRE,SCA,N1131G,DE	5.3 	6.9 	-6.4 	-1.0 	2.2 	-6.2 	14.4 	3.6 	-2.0 	-3.4 	: 	: 
CLV_PCH_PRE,SCA,N1131G,DK	-26.1 	7.2 	-6.8 	16.1 	6.9 	10.3 	-25.9 	38.8 	8.9 	-7.6 	16.3 	52.0 
CLV_PCH_PRE,SCA,N1131G,EA	4.8 	10.4 	-3.4 	5.1 	0.3 	0.3 	6.1 	1.5 	-1.6 	3.2 	0.6 	-5.1 
CLV_PCH_PRE,SCA,N1131G,EA19	4.8 	10.4 	-3.4 	5.1 	0.3 	0.3 	6.1 	1.5 	-1.6 	3.2 	0.6 	-5.1 
CLV_PCH_PRE,SCA,N1131G,EE	-15.7 	18.8 	11.4 	-19.4 	44.7 	2.5 	4.7 	8.7 	-38.4 	-51.4 	79.6 	-11.0 
CLV_PCH_PRE,SCA,N1131G,EL	27.2 	23.5 	-25.5 	60.5 	-30.5 	-16.6 	226.8 	-38.5 	-35.4 p	69.9 p	-35.0 p	-28.1 p
CLV_PCH_PRE,SCA,N1131G,ES	-2.8 	8.6 	-0.6 p	-1.2 p	1.0 p	-3.8 p	8.5 p	-6.2 p	6.8 p	-1.3 p	-3.5 p	13.8 p
CLV_PCH_PRE,SCA,N1131G,EU28	0.9 	9.6 	-1.3 	4.5 	2.6 	-2.0 	4.6 	2.3 	-1.8 	1.2 	2.3 	-3.4 
CLV_PCH_PRE,SCA,N1131G,FI	25.8 	16.0 	1.8 	10.9 	-20.5 	-8.5 	2.4 	14.5 	-5.5 	-15.9 	7.2 	-4.3 
CLV_PCH_PRE,SCA,N1131G,FR	2.5 	2.2 	3.5 	0.8 	-2.1 	2.4 	2.7 	0.6 	2.6 	2.0 	-2.1 	1.9 
CLV_PCH_PRE,SCA,N1131G,IE	-9.7 	22.3 	19.7 	3.0 	24.4 	-5.0 	-25.4 	19.0 	-23.3 	35.7 	-0.3 	-12.7 
CLV_PCH_PRE,SCA,N1131G,IT	7.2 	-0.9 	6.0 	4.8 	13.5 	12.3 	3.2 	14.8 	1.2 	7.6 	5.0 	8.2 
CLV_PCH_PRE,SCA,N1131G,LT	17.9 	-12.7 	18.1 	39.8 	-37.4 	3.3 	18.1 	9.3 	-7.6 	7.0 	-9.2 	24.7 
CLV_PCH_PRE,SCA,N1131G,LU	7.0 	-29.5 	10.5 	16.8 	11.0 	21.3 	22.7 	2.4 	-55.7 	22.9 	-17.5 	-14.6 
CLV_PCH_PRE,SCA,N1131G,LV	-39.2 	28.4 	5.6 	-3.7 	34.4 	5.2 	15.7 	6.3 	-2.6 	-19.4 	19.4 	1.7 
CLV_PCH_PRE,SCA,N1131G,MT	-9.9 	-63.9 	148.1 	73.1 	-53.6 	0.5 	-78.8 	6.1 	168.4 	-32.5 	-63.6 	87.4 
CLV_PCH_PRE,SCA,N1131G,NL	9.6 	74.2 	-31.7 p	16.8 p	-16.5 p	1.9 p	5.4 p	3.8 p	10.9 p	-20.4 p	23.8 p	-12.8 p
CLV_PCH_PRE,SCA,N1131G,NO	-10.3 	-10.0 	48.1 	34.8 	62.7 	-27.3 	8.1 	28.2 	-11.1 	3.8 	-32.5 	43.2 
CLV_PCH_PRE,SCA,N1131G,PT	-2.3 	-5.5 	11.6 	2.0 	2.1 	12.3 	-6.0 	14.3 	-8.1 	1.8 	-1.1 	2.0 
CLV_PCH_PRE,SCA,N1131G,SE	-3.8 	8.7 	2.9 	4.3 	4.4 	-10.9 	11.8 	-6.0 	6.2 	1.9 	4.0 	8.9 
CLV_PCH_PRE,SCA,N1131G,SI	4.3 	4.4 	5.8 	1.7 	4.1 	0.9 	8.5 	-1.8 	1.4 	3.7 	4.0 	1.8 
CLV_PCH_PRE,SCA,N1131G,UK	-12.8 d	8.7 d	20.2 d	0.7 d	14.0 d	-13.3 d	-0.4 d	1.9 d	-9.3 d	-10.9 d	11.2 d	-12.8 d
CLV_PCH_PRE,SCA,N1132G,AT	2.7 	-0.1 	-1.5 	3.9 	-1.2 	2.6 	1.2 	1.8 	-1.3 	2.8 	1.4 	3.8 
CLV_PCH_PRE,SCA,N1132G,CY	0.1 	-6.6 	-12.7 	-7.2 	-0.3 	7.7 	14.4 	8.9 	5.8 	2.6 	-6.3 	-0.2 
CLV_PCH_PRE,SCA,N1132G,EE	0.3 	-8.9 	29.1 	-1.0 	-16.1 	0.7 	87.7 	1.8 	-2.8 	27.7 	-23.6 	3.0 
CLV_PCH_PRE,SCA,N1132G,EL	5.3 	-14.3 	-9.1 	-4.7 	-5.0 	-8.2 	1.1 	2.9 	3.7 	4.1 	9.7 	-2.5 
CLV_PCH_PRE,SCA,N1132G,IE	14.0 	-19.2 	-8.1 	11.3 	20.6 	3.4 	-30.6 	64.9 	-27.5 	46.0 	62.3 	-0.4 
CLV_PCH_PRE,SCA,N1132G,LT	4.8 	0.3 	0.7 	1.4 	17.8 	-3.6 	5.9 	8.4 	-7.4 	18.6 	-4.3 	-4.0 
CLV_PCH_PRE,SCA,N1132G,NL	2.0 	9.2 	7.4 p	8.8 p	4.2 p	9.2 p	3.0 p	4.1 p	5.9 p	0.0 p	1.8 p	1.1 p
CLV_PCH_PRE,SCA,N1132G,SE	-0.9 	4.7 	-2.0 	-0.3 	2.6 	1.9 	-0.4 	6.2 	1.5 	-3.1 	2.4 	-1.8 
CLV_PCH_PRE,SCA,N1132G,UK	1.4 d	-2.6 d	-4.8 d	6.7 d	-3.6 d	0.4 d	-3.1 d	1.7 d	11.2 d	-2.2 d	2.9 d	1.5 d
CLV_PCH_PRE,SCA,N11G,AT	1.9 	-0.1 	2.6 	0.9 	-0.6 	1.9 	1.5 	0.9 	0.1 	1.1 	0.4 	2.1 
CLV_PCH_PRE,SCA,N11G,BE	2.7 	1.0 	1.7 	0.8 	7.7 	-5.8 	0.4 	1.0 	0.0 	0.8 	0.4 	0.9 
CLV_PCH_PRE,SCA,N11G,BG	3.5 	0.4 	-5.9 	-2.2 	-0.3 	-0.9 	1.2 	4.0 	-1.9 	3.2 	4.1 p	1.1 p
CLV_PCH_PRE,SCA,N11G,CH	0.5 	-0.1 	2.0 	1.1 	-0.2 	0.2 	2.1 	0.3 	0.9 	0.9 	1.2 	0.1 
CLV_PCH_PRE,SCA,N11G,CY	-9.8 	51.8 	-61.7 	328.8 	-52.7 	73.2 	-3.9 	-30.4 	1.4 	136.3 	-76.4 	167.1 
CLV_PCH_PRE,SCA,N11G,CZ	0.9 	0.5 	-3.5 	-3.3 	1.9 	0.4 	-0.4 	4.1 	1.1 	0.6 	4.2 	1.7 
CLV_PCH_PRE,SCA,N11G,DE	0.7 	2.5 	1.5 	-1.1 	0.7 	0.2 	2.0 	1.3 	0.4 	0.3 	1.4 	0.5 
CLV_PCH_PRE,SCA,N11G,DK	-0.1 	1.8 	1.5 	2.2 	0.9 	1.5 	-1.0 	3.0 	1.3 	1.7 	2.1 	8.6 
CLV_PCH_PRE,SCA,N11G,EA	-4.3 	2.7 	0.6 	1.3 	0.8 	1.4 	-0.7 	2.1 	-0.3 	1.5 	0.1 	1.4 
CLV_PCH_PRE,SCA,N11G,EA19	-4.3 	2.7 	0.6 	1.3 	0.8 	1.4 	-0.7 	2.1 	-0.3 	1.5 	0.1 	1.4 
CLV_PCH_PRE,SCA,N11G,EE	1.5 	9.1 	-0.4 	-3.3 	-2.3 	2.4 	19.4 	-1.8 	-3.6 	-9.3 	5.8 	7.0 
CLV_PCH_PRE,SCA,N11G,EL	3.2 	21.7 	-18.2 	9.9 	3.8 	-0.8 	3.4 	-5.1 	-5.8 p	39.5 p	-28.0 p	0.0 p
CLV_PCH_PRE,SCA,N11G,ES	1.0 	1.1 	-0.1 p	0.9 p	0.2 p	1.1 p	2.4 p	-0.2 p	2.3 p	0.6 p	1.1 p	3.5 p
CLV_PCH_PRE,SCA,N11G,EU28	-3.5 	2.7 	-0.3 	1.3 	0.9 	1.0 	-0.2 	2.1 	0.1 	1.3 	0.2 	1.2 
CLV_PCH_PRE,SCA,N11G,FI	0.4 	1.7 	3.6 	2.7 	0.7 	2.8 	0.4 	-0.6 	1.7 	0.0 	0.9 	1.9 
CLV_PCH_PRE,SCA,N11G,FR	1.1 	1.2 	1.1 	-0.1 	0.3 	0.9 	2.3 	0.8 	1.3 	1.0 	0.1 	0.8 
CLV_PCH_PRE,SCA,N11G,HR	2.5 	1.3 	1.4 	2.5 	-0.1 	2.8 	0.5 	0.4 	0.2 	0.9 	1.7 	0.2 
CLV_PCH_PRE,SCA,N11G,HU	-1.6 	7.3 	-20.5 	0.2 	7.0 	2.7 	6.1 	4.9 	3.1 	1.3 	6.1 	3.4 
CLV_PCH_PRE,SCA,N11G,IE	8.2 	38.5 	-6.5 	23.6 	0.0 	14.9 	-45.0 	44.2 	-38.4 	15.6 	-3.1 	-1.4 
CLV_PCH_PRE,SCA,N11G,IT	0.8 	0.2 	1.3 	-0.1 	2.1 	2.7 	-1.6 	1.4 	3.0 	1.6 	-1.1 	2.8 
CLV_PCH_PRE,SCA,N11G,LT	-3.2 	-4.4 	4.6 	2.0 	-3.1 	3.3 	0.9 	3.0 	0.9 	4.6 	-0.6 	2.4 
CLV_PCH_PRE,SCA,N11G,LU	1.8 	-6.1 	10.4 	5.3 	2.1 	5.6 	2.5 	2.6 	-14.8 	4.7 	-2.9 	-1.1 
CLV_PCH_PRE,SCA,N11G,LV	-6.5 	1.0 	-6.3 	-4.7 	3.4 	4.2 	2.2 	7.3 	1.7 	0.5 	9.8 	0.8 
CLV_PCH_PRE,SCA,N11G,MT	-0.5 	-6.7 	-12.6 	24.4 	-15.0 	14.6 	-11.3 	-17.2 	11.8 	22.9 	-25.4 	9.5 
CLV_PCH_PRE,SCA,N11G,NL	-46.9 	2.7 	2.1 p	3.0 p	0.8 p	-0.8 p	3.0 p	1.9 p	2.9 p	-1.1 p	2.6 p	1.1 p
CLV_PCH_PRE,SCA,N11G,NO	-2.1 	-0.2 	1.7 	3.8 	3.8 	-0.5 	0.7 	0.3 	0.0 	1.3 	-6.4 	5.4 
CLV_PCH_PRE,SCA,N11G,PL	1.9 	1.5 	-11.2 	2.2 	-0.3 	0.0 	0.2 	1.7 	1.5 	1.7 	1.7 	0.4 
CLV_PCH_PRE,SCA,N11G,PT	-1.7 	0.4 	-0.1 	0.9 	2.3 	4.2 	2.5 	1.9 	0.5 	1.1 	0.8 	1.3 
CLV_PCH_PRE,SCA,N11G,RO	-1.5 	14.6 	-9.6 p	2.4 p	-5.1 p	-0.7 p	2.6 p	2.8 p	1.9 p	1.6 p	-3.0 p	-1.9 p
CLV_PCH_PRE,SCA,N11G,SE	0.1 	3.7 	-0.7 	1.4 	0.3 	0.7 	2.6 	2.0 	3.1 	-1.2 	2.5 	-0.5 
CLV_PCH_PRE,SCA,N11G,SI	-0.4 	-0.5 	-7.1 	4.2 	2.1 	1.2 	5.0 	1.3 	0.2 	5.0 	2.8 	0.0 
CLV_PCH_PRE,SCA,N11G,UK	-2.1 d	1.8 d	0.0 d	1.6 d	1.5 d	-0.6 d	1.0 d	1.8 d	0.2 d	0.7 d	-1.0 d	-0.5 d
CLV_PCH_PRE,SCA,N11KG,AT	-0.4 	-1.0 	0.5 	0.8 	0.4 	1.3 	1.3 	0.7 	-0.1 	1.2 	0.4 	1.4 
CLV_PCH_PRE,SCA,N11KG,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_PRE,SCA,N11KG,BG	-0.3 	-1.7 	6.2 	-4.0 	-2.9 	-2.9 	-0.5 	2.7 	-2.0 	2.2 	4.1 p	0.3 p
CLV_PCH_PRE,SCA,N11KG,CY	2.8 	2.8 	2.2 	10.6 	10.2 	6.8 	7.3 	2.8 	0.5 	3.9 	5.8 	2.0 
CLV_PCH_PRE,SCA,N11KG,CZ	1.6 	-1.6 	-1.8 	-9.3 	1.0 	3.6 	-1.8 	4.7 	1.4 	1.7 	4.5 	2.4 
CLV_PCH_PRE,SCA,N11KG,DE	0.2 	2.6 	2.5 	-1.6 	0.3 	1.3 	2.4 	0.7 	-0.1 	0.2 	1.6 	0.6 
CLV_PCH_PRE,SCA,N11KG,DK	3.0 	1.8 	1.4 	0.3 	-0.2 	0.7 	3.2 	2.2 	-0.5 	2.2 	3.1 	1.0 
CLV_PCH_PRE,SCA,N11KG,EA	0.6 	1.1 	0.7 	0.3 	1.4 	0.9 	1.2 	0.9 	1.2 	0.9 	0.6 	1.1 
CLV_PCH_PRE,SCA,N11KG,EA19	0.6 	1.1 	0.7 	0.3 	1.4 	0.9 	1.2 	0.9 	1.2 	0.9 	0.6 	1.1 
CLV_PCH_PRE,SCA,N11KG,EE	13.5 	9.0 	-6.2 	3.9 	-8.6 	-0.6 	10.6 	1.3 	-0.6 	-10.5 	12.0 	7.7 
CLV_PCH_PRE,SCA,N11KG,EL	-3.0 	18.2 	3.3 	1.3 	9.1 	-10.8 	-1.4 	1.1 p	-3.8 p	9.6 p	-1.0 p	2.2 p
CLV_PCH_PRE,SCA,N11KG,ES	0.3 	-0.1 	-0.3 p	0.8 p	0.1 p	1.7 p	1.2 p	1.0 p	1.7 p	0.8 p	2.1 p	2.2 p
CLV_PCH_PRE,SCA,N11KG,EU28	0.4 	1.2 	0.1 	0.3 	1.4 	0.7 	1.8 	1.0 	1.2 	0.8 	0.4 	0.8 
CLV_PCH_PRE,SCA,N11KG,FI	1.1 	2.2 	4.5 	0.7 	2.9 	1.5 	0.0 	2.2 	0.7 	1.2 	2.6 	1.1 
CLV_PCH_PRE,SCA,N11KG,FR	0.1 	0.8 	-0.1 	0.3 	0.3 	1.2 	1.6 	0.6 	0.7 	0.4 	0.3 	0.3 
CLV_PCH_PRE,SCA,N11KG,IE	-0.2 	3.2 	3.2 	12.0 	6.1 	-1.0 	5.8 	2.2 	5.1 	4.5 	-0.8 	3.6 
CLV_PCH_PRE,SCA,N11KG,IT	0.1 	1.1 	0.2 	0.1 	0.0 	0.2 	1.1 	-0.2 	1.0 	1.0 	0.1 	0.6 
CLV_PCH_PRE,SCA,N11KG,LT	-5.0 	-1.0 	-9.3 	7.7 	-1.0 	1.9 	-2.3 	4.8 	2.1 	3.4 	1.4 	2.1 
CLV_PCH_PRE,SCA,N11KG,LU	-0.7 	1.7 	9.4 	-4.6 	2.9 	1.3 	-7.2 	5.4 	-3.2 	-0.3 	10.0 	-4.9 
CLV_PCH_PRE,SCA,N11KG,LV	-6.7 	-1.0 	-17.7 	-2.9 	0.3 	0.2 	2.3 	7.5 	8.4 	3.6 	14.5 	2.9 
CLV_PCH_PRE,SCA,N11KG,MT	-3.2 	11.7 	-39.3 	8.4 	22.3 	29.7 	7.4 	-28.7 	2.3 	32.1 	-22.2 	0.5 
CLV_PCH_PRE,SCA,N11KG,NL	1.2 	-5.7 	10.6 p	0.4 p	5.9 p	-1.6 p	1.9 p	1.4 p	2.9 p	0.5 p	1.3 p	3.0 p
CLV_PCH_PRE,SCA,N11KG,NO	-1.6 	-0.6 	-0.2 	2.7 	1.1 	0.5 	2.2 	-1.4 	-0.5 	-0.8 	2.1 	-5.9 
CLV_PCH_PRE,SCA,N11KG,PT	-0.8 	0.2 	-1.5 	-1.6 	2.1 	3.9 	4.8 	-1.5 	0.8 	2.3 	0.4 	-0.3 
CLV_PCH_PRE,SCA,N11KG,SE	0.5 	2.8 	2.6 	-1.4 	3.4 	2.4 	1.2 	3.7 	2.3 	-0.5 	2.9 	-1.0 
CLV_PCH_PRE,SCA,N11KG,SI	-3.2 	0.7 	-23.1 	11.0 	7.9 	-0.7 	1.8 	0.8 	0.8 	8.5 	1.0 	1.3 
CLV_PCH_PRE,SCA,N11KG,UK	-1.2 d	0.8 d	0.4 d	1.1 d	1.9 d	0.0 d	3.9 d	0.4 d	1.2 d	0.7 d	-2.1 d	-0.2 d
CLV_PCH_PRE,SCA,N11MG,AT	5.1 	0.1 	7.8 	-0.1 	-2.1 	3.4 	1.8 	1.3 	-0.2 	1.3 	-0.2 	4.4 
CLV_PCH_PRE,SCA,N11MG,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_PRE,SCA,N11MG,BG	2.6 	-1.7 	-7.3 	-3.4 	-0.5 	-1.9 	1.5 	3.1 	0.5 	2.2 	3.7 p	1.3 p
CLV_PCH_PRE,SCA,N11MG,CY	: c	: c	: 	: 	: c	: c	: c	: c	: c	: c	: 	: 
CLV_PCH_PRE,SCA,N11MG,CZ	0.1 	3.1 	-6.4 	-0.5 	2.3 	-2.1 	0.4 	4.8 	0.9 	-0.1 	5.0 	1.9 
CLV_PCH_PRE,SCA,N11MG,DE	1.4 	2.9 	0.0 	-1.8 	1.0 	-0.7 	2.2 	2.7 	1.2 	0.5 	2.3 	0.3 
CLV_PCH_PRE,SCA,N11MG,DK	-7.9 	2.4 	-0.8 	3.6 	3.5 	3.6 	-5.5 	8.3 	4.7 	-0.8 	4.9 	24.6 
CLV_PCH_PRE,SCA,N11MG,EA	2.5 	3.6 	0.1 	1.3 	0.6 	1.6 	0.7 	1.5 	2.0 	2.5 	-0.6 	2.6 
CLV_PCH_PRE,SCA,N11MG,EA19	2.5 	3.6 	0.1 	1.3 	0.6 	1.6 	0.7 	1.5 	2.0 	2.5 	-0.6 	2.6 
CLV_PCH_PRE,SCA,N11MG,EE	-16.1 	11.7 	3.4 	-9.2 	4.3 	15.8 	25.1 	-1.2 	-13.6 	-0.9 	-13.2 	11.1 
CLV_PCH_PRE,SCA,N11MG,EL	-3.6 	25.1 	-17.6 	12.2 	-14.2 	-3.6 	58.2 	-18.8 	-18.2 p	50.7 p	-21.7 p	-12.0 p
CLV_PCH_PRE,SCA,N11MG,ES	1.7 	2.7 	-0.2 p	1.2 p	0.4 p	0.3 p	4.9 p	-2.2 p	3.7 p	0.5 p	-0.1 p	6.6 p
CLV_PCH_PRE,SCA,N11MG,EU28	1.1 	3.8 	-1.0 	1.6 	0.8 	0.9 	0.1 	2.3 	1.4 	1.8 	0.0 	2.2 
CLV_PCH_PRE,SCA,N11MG,FI	-0.3 	2.5 	7.2 	7.8 	-9.6 	18.6 	-1.6 	-4.3 	3.0 	1.5 	-5.2 	5.2 
CLV_PCH_PRE,SCA,N11MG,FR	4.3 	3.2 	3.0 	-0.3 	-1.7 	0.5 	3.1 	0.4 	1.8 	1.8 	-1.1 	1.4 
CLV_PCH_PRE,SCA,N11MG,IE	-1.4 	5.5 	8.3 	5.3 	14.3 	-5.5 	-21.5 	21.6 	-23.6 	27.7 	17.3 	-6.7 
CLV_PCH_PRE,SCA,N11MG,IT	1.7 	-1.6 	3.0 	-1.1 	5.8 	6.3 	-5.8 	4.0 	7.5 	2.9 	-2.5 	7.0 
CLV_PCH_PRE,SCA,N11MG,LT	0.7 	-10.4 	12.7 	8.7 	-3.7 	0.9 	2.8 	3.5 	0.5 	6.8 	-4.4 	3.5 
CLV_PCH_PRE,SCA,N11MG,LU	3.2 	-15.4 	13.2 	15.9 	6.1 	12.8 	17.1 	0.1 	-34.3 	13.3 	-11.5 	-6.9 
CLV_PCH_PRE,SCA,N11MG,LV	-5.1 	7.9 	-1.1 	-1.1 	10.6 	9.1 	-2.8 	0.9 	0.3 	0.8 	4.1 	-0.2 
CLV_PCH_PRE,SCA,N11MG,MT	0.3 	-26.4 	19.1 	39.6 	-36.8 	4.4 	-37.1 	-5.5 	32.4 	22.9 	-40.8 	29.8 
CLV_PCH_PRE,SCA,N11MG,NL	2.2 	18.3 	-10.0 p	5.9 p	-4.3 p	-1.6 p	6.5 p	2.8 p	6.9 p	-6.6 p	7.2 p	-2.9 p
CLV_PCH_PRE,SCA,N11MG,NO	-0.7 	-2.6 	17.6 	7.4 	18.8 	-10.4 	2.3 	3.8 	1.5 	3.0 	-13.6 	15.8 
CLV_PCH_PRE,SCA,N11MG,PT	-4.4 	-0.2 	2.5 	4.2 	2.9 	5.8 	1.4 	7.2 	-0.6 	-0.9 	2.2 	3.7 
CLV_PCH_PRE,SCA,N11MG,SE	-1.0 	3.3 	0.1 	3.7 	0.7 	0.9 	1.8 	2.0 	3.0 	-2.5 	0.7 	-0.8 
CLV_PCH_PRE,SCA,N11MG,SI	5.1 	0.1 	-0.3 	4.4 	1.0 	2.2 	5.6 	2.8 	0.3 	1.4 	4.3 	-0.7 
CLV_PCH_PRE,SCA,N11MG,UK	-4.9 d	5.4 d	-0.9 d	3.0 d	1.4 d	-2.5 d	-3.8 d	5.0 d	-3.4 d	-0.8 d	0.2 d	-3.3 d
CLV_PCH_PRE,SCA,N11OG,AT	1.0 	-0.9 	9.6 	-1.1 	-1.1 	0.6 	1.3 	-0.4 	0.8 	1.6 	2.9 	-0.9 
CLV_PCH_PRE,SCA,N11OG,CY	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_PRE,SCA,N11OG,EE	-23.4 	7.5 	2.1 	-3.8 	-10.5 	31.9 	19.8 	-25.0 	19.1 	6.9 	-18.9 	8.5 
CLV_PCH_PRE,SCA,N11OG,EL	-14.7 	16.6 	-11.4 	-2.7 	7.1 	-13.1 	7.9 	1.8 	3.0 p	8.9 p	4.2 p	2.1 p
CLV_PCH_PRE,SCA,N11OG,IE	0.0 	-2.5 	-18.1 	9.9 	-8.8 	-8.1 	-14.2 	3.4 	-6.7 	-6.2 	38.8 	0.2 
CLV_PCH_PRE,SCA,N11OG,LT	-5.0 	-7.7 	2.7 	-1.1 	15.1 	3.0 	-6.1 	1.7 	3.6 	1.9 	-0.3 	-0.9 
CLV_PCH_PRE,SCA,N11OG,NL	-0.6 	-2.6 	1.2 p	-0.3 p	-0.8 p	-6.3 p	8.3 p	2.4 p	2.9 p	1.3 p	0.6 p	2.4 p
CLV_PCH_PRE,SCA,N11OG,NO	-0.7 	-3.4 	11.8 	0.0 	0.2 	0.8 	-0.3 	-8.5 	10.3 	2.6 	-2.7 	4.8 
