unit,s_adj,asset10,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CLV_PCH_SM,SCA,N111G,IT	-0.5 	0.8 	1.4 	1.7 	1.6 	1.2 	2.5 	2.4 	3.5 	4.6 	3.2 	3.6 
CLV_PCH_SM,SCA,N111G,LT	5.8 	13.5 	-35.1 	17.2 	10.8 	34.6 	52.3 	-10.4 	-11.7 	-21.7 	10.5 	0.6 
CLV_PCH_SM,SCA,N111G,LU	-0.8 	-12.2 	4.1 	12.6 	3.0 	13.3 	9.1 	0.4 	3.3 	-9.0 	24.2 	6.6 
CLV_PCH_SM,SCA,N111G,LV	-6.8 	0.4 	4.3 	-40.8 	0.1 	-27.7 	-22.7 	1.7 	-15.1 	-2.2 	37.7 	4.2 
CLV_PCH_SM,SCA,N111G,MT	31.3 	28.9 	6.8 	13.8 	39.7 	72.5 	89.5 	61.6 	40.2 	10.4 	11.2 	16.3 
CLV_PCH_SM,SCA,N111G,NL	31.3 	6.7 	21.8 p	14.7 p	19.5 p	32.0 p	16.7 p	14.6 p	5.7 p	11.4 p	7.8 p	8.5 p
CLV_PCH_SM,SCA,N111G,NO	3.6 	9.8 	4.7 	6.6 	7.4 	7.2 	13.5 	8.7 	7.6 	-1.3 	-7.5 	-11.4 
CLV_PCH_SM,SCA,N111G,PT	-1.6 	1.7 	0.3 	3.9 	7.3 	8.8 	5.3 	4.4 	8.3 	7.3 	3.1 	5.6 
CLV_PCH_SM,SCA,N111G,SE	19.4 	22.8 	18.8 	11.2 	10.5 	5.4 	9.8 	13.8 	12.3 	9.9 	7.6 	4.2 
CLV_PCH_SM,SCA,N111G,SI	-0.2 	2.8 	-3.9 	-0.6 	1.9 	3.0 	4.0 	2.6 	3.5 	4.3 	5.9 	5.0 
CLV_PCH_SM,SCA,N111G,UK	4.6 d	7.1 d	10.1 d	6.6 d	8.5 d	7.7 d	8.8 d	7.9 d	6.6 d	7.4 d	3.1 d	2.4 d
CLV_PCH_SM,SCA,N1131G,AT	10.4 	19.5 	29.3 	32.9 	7.0 	15.2 	8.7 	13.9 	17.8 	6.7 	-4.4 	6.5 
CLV_PCH_SM,SCA,N1131G,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_SM,SCA,N1131G,BG	-14.7 	-11.7 	11.3 	8.0 	2.2 	0.6 	-21.8 	-17.0 	-20.3 	-16.4 	8.1 p	4.5 p
CLV_PCH_SM,SCA,N1131G,CY	: 	: 	: 	1279.4 	: 	82.1 	: 	-98.7 	: 	93.7 	: 	3299.6 
CLV_PCH_SM,SCA,N1131G,CZ	13.3 	10.4 	6.4 	12.8 	9.3 	8.0 	6.3 	2.7 	2.7 	4.0 	10.0 	11.9 
CLV_PCH_SM,SCA,N1131G,DE	8.2 	8.1 	6.5 	4.4 	1.3 	-11.2 	8.5 	13.6 	8.9 	12.2 	: 	: 
CLV_PCH_SM,SCA,N1131G,DK	-21.5 	-20.2 	-23.8 	-14.2 	24.1 	27.7 	1.5 	21.4 	23.6 	3.5 	62.4 	77.8 
CLV_PCH_SM,SCA,N1131G,EA	7.6 	13.2 	12.2 	17.4 	12.4 	2.1 	12.1 	8.3 	6.3 	9.3 	3.7 	-3.1 
CLV_PCH_SM,SCA,N1131G,EA19	7.6 	13.2 	12.2 	17.4 	12.4 	2.1 	12.1 	8.3 	6.3 	9.3 	3.7 	-3.1 
CLV_PCH_SM,SCA,N1131G,EE	-25.3 	-38.1 	19.8 	-10.1 	54.3 	33.2 	25.3 	68.9 	-28.1 	-65.9 	-41.6 	-52.1 
CLV_PCH_SM,SCA,N1131G,EL	-5.1 	-36.9 	-49.2 	87.8 	2.6 	-30.7 	204.2 	16.4 	8.1 p	120.2 p	-56.2 p	-48.8 p
CLV_PCH_SM,SCA,N1131G,ES	14.9 	19.2 	17.3 p	3.7 p	7.8 p	-4.6 p	4.2 p	-1.1 p	4.6 p	7.2 p	-4.7 p	15.7 p
CLV_PCH_SM,SCA,N1131G,EU28	6.7 	12.2 	7.1 	14.1 	16.0 	3.7 	9.9 	7.6 	3.0 	6.4 	4.1 	-1.7 
CLV_PCH_SM,SCA,N1131G,FI	2.7 	23.6 	45.5 	64.7 	4.1 	-17.8 	-17.4 	-14.7 	1.4 	-6.9 	-2.5 	-18.5 
CLV_PCH_SM,SCA,N1131G,FR	6.9 	8.1 	8.2 	9.3 	4.4 	4.6 	3.7 	3.4 	8.5 	8.0 	3.0 	4.4 
CLV_PCH_SM,SCA,N1131G,IE	-28.7 	-9.7 	53.9 	36.0 	87.5 	45.8 	-9.1 	5.0 	-35.3 	-7.6 	23.4 	-9.5 
CLV_PCH_SM,SCA,N1131G,IT	27.2 	21.0 	9.2 	18.0 	25.0 	41.6 	37.8 	51.0 	34.7 	29.1 	31.3 	23.8 
CLV_PCH_SM,SCA,N1131G,LT	15.8 	-3.9 	1.3 	69.9 	-9.8 	6.7 	6.8 	-16.5 	23.2 	27.6 	-1.9 	11.8 
CLV_PCH_SM,SCA,N1131G,LU	-10.6 	-57.5 	-40.5 	-2.5 	1.1 	73.9 	93.1 	69.2 	-32.5 	-31.6 	-54.0 	-61.7 
CLV_PCH_SM,SCA,N1131G,LV	-25.2 	14.7 	4.2 	-20.6 	75.4 	43.8 	57.5 	73.8 	26.0 	-3.4 	-0.3 	-4.6 
CLV_PCH_SM,SCA,N1131G,MT	1392.9 	574.7 	358.6 	39.7 	-28.1 	100.0 	-82.9 	-89.5 	-39.4 	-59.3 	-30.0 	23.8 
CLV_PCH_SM,SCA,N1131G,NL	27.9 	112.2 	34.2 p	52.4 p	16.2 p	-32.0 p	4.9 p	-6.9 p	23.7 p	-3.4 p	13.5 p	-4.6 p
CLV_PCH_SM,SCA,N1131G,NO	-14.1 	-19.9 	14.8 	61.3 	192.6 	136.3 	72.5 	64.0 	-10.4 	27.9 	-20.1 	-10.7 
CLV_PCH_SM,SCA,N1131G,PT	34.1 	7.3 	26.4 	5.1 	9.9 	30.5 	9.9 	23.1 	10.8 	0.4 	5.7 	-5.7 
CLV_PCH_SM,SCA,N1131G,SE	7.4 	8.4 	3.7 	12.2 	21.8 	-0.2 	8.5 	-2.3 	-0.6 	13.7 	5.8 	22.6 
CLV_PCH_SM,SCA,N1131G,SI	19.9 	22.8 	20.9 	17.1 	16.8 	12.9 	15.8 	11.8 	8.9 	12.0 	7.3 	11.3 
CLV_PCH_SM,SCA,N1131G,UK	12.3 d	22.8 d	-2.0 d	14.6 d	49.9 d	19.6 d	-0.9 d	0.4 d	-20.1 d	-17.9 d	-8.3 d	-21.5 d
CLV_PCH_SM,SCA,N1132G,AT	20.9 	16.2 	5.0 	5.1 	1.1 	3.8 	6.5 	4.4 	4.3 	4.5 	4.7 	6.8 
CLV_PCH_SM,SCA,N1132G,CY	22.6 	9.8 	-13.5 	-24.3 	-24.6 	-13.0 	14.0 	33.8 	42.1 	35.4 	10.9 	1.5 
CLV_PCH_SM,SCA,N1132G,EE	-34.1 	-34.0 	7.9 	16.8 	-2.4 	7.9 	56.8 	61.4 	87.0 	137.2 	-3.4 	-2.3 
CLV_PCH_SM,SCA,N1132G,EL	52.2 	-4.0 	-7.6 	-21.8 	-29.5 	-24.4 	-16.0 	-9.2 	-0.9 	12.3 	21.9 	15.4 
CLV_PCH_SM,SCA,N1132G,IE	0.8 	-0.3 	-0.3 	-5.7 	-0.2 	27.6 	-3.6 	42.8 	-14.1 	21.2 	183.3 	71.1 
CLV_PCH_SM,SCA,N1132G,LT	17.0 	13.0 	6.0 	7.4 	20.7 	16.0 	22.0 	30.4 	2.5 	26.1 	13.9 	0.8 
CLV_PCH_SM,SCA,N1132G,NL	16.4 	28.4 	27.3 p	30.1 p	33.0 p	33.0 p	27.6 p	22.0 p	24.0 p	13.5 p	12.2 p	9.0 p
CLV_PCH_SM,SCA,N1132G,SE	-2.7 	4.0 	1.3 	1.4 	4.9 	2.2 	3.8 	10.7 	9.5 	4.1 	7.0 	-1.1 
CLV_PCH_SM,SCA,N1132G,UK	-13.8 d	-10.0 d	-3.9 d	0.3 d	-4.6 d	-1.7 d	0.1 d	-4.6 d	10.0 d	7.2 d	13.8 d	13.6 d
CLV_PCH_SM,SCA,N11G,AT	3.5 	3.4 	4.6 	5.3 	2.8 	4.8 	3.7 	3.7 	4.5 	3.7 	2.6 	3.8 
CLV_PCH_SM,SCA,N11G,BE	-4.2 	1.7 	-5.7 	6.3 	11.5 	4.0 	2.7 	2.9 	-4.5 	2.2 	2.2 	2.0 
CLV_PCH_SM,SCA,N11G,BG	3.6 	6.0 	-0.7 	-4.4 	-7.9 	-9.1 	-2.3 	4.0 	2.3 	6.6 	9.7 p	6.6 p
CLV_PCH_SM,SCA,N11G,CH	3.5 	1.2 	4.0 	3.6 	2.8 	3.1 	3.2 	2.3 	3.5 	4.2 	3.4 	3.2 
CLV_PCH_SM,SCA,N11G,CY	-23.2 	57.5 	-28.1 	124.5 	17.8 	34.4 	237.6 	-45.2 	17.4 	60.2 	-60.7 	50.9 
CLV_PCH_SM,SCA,N11G,CZ	12.1 	10.1 	1.5 	-5.4 	-4.4 	-4.6 	-1.5 	6.0 	5.2 	5.4 	10.3 	7.8 
CLV_PCH_SM,SCA,N11G,DE	1.7 	2.8 	4.9 	3.7 	3.6 	1.3 	1.8 	4.3 	4.0 	4.1 	3.5 	2.6 
CLV_PCH_SM,SCA,N11G,DK	3.6 	2.1 	5.6 	5.5 	6.6 	6.2 	3.6 	4.4 	4.8 	5.0 	8.2 	14.2 
CLV_PCH_SM,SCA,N11G,EA	3.5 	5.6 	6.3 	0.1 	5.5 	4.2 	2.8 	3.6 	2.5 	2.6 	3.5 	2.8 
CLV_PCH_SM,SCA,N11G,EA19	3.5 	5.6 	6.3 	0.1 	5.5 	4.2 	2.8 	3.6 	2.5 	2.6 	3.5 	2.8 
CLV_PCH_SM,SCA,N11G,EE	-3.6 	-5.7 	8.8 	6.7 	2.7 	-3.6 	15.6 	17.4 	15.9 	2.6 	-9.2 	-1.0 
CLV_PCH_SM,SCA,N11G,EL	-2.6 	5.0 	-9.6 	12.9 	13.6 	-7.4 	17.0 	1.1 	-8.3 p	29.0 p	-10.3 p	-5.4 p
CLV_PCH_SM,SCA,N11G,ES	7.4 	7.9 	4.4 p	2.9 p	2.1 p	2.1 p	4.7 p	3.6 p	5.8 p	5.2 p	3.9 p	7.7 p
CLV_PCH_SM,SCA,N11G,EU28	3.4 	5.4 	4.7 	0.1 	4.6 	2.9 	3.0 	3.8 	3.0 	3.3 	3.8 	2.8 
CLV_PCH_SM,SCA,N11G,FI	-0.4 	3.5 	6.1 	8.7 	9.0 	10.2 	6.9 	3.4 	4.4 	1.6 	2.1 	4.6 
CLV_PCH_SM,SCA,N11G,FR	0.8 	2.3 	2.7 	3.4 	2.6 	2.3 	3.5 	4.4 	5.4 	5.5 	3.2 	3.2 
CLV_PCH_SM,SCA,N11G,HR	5.0 	6.7 	6.1 	7.8 	5.1 	6.7 	5.7 	3.6 	3.9 	2.0 	3.3 	3.1 
CLV_PCH_SM,SCA,N11G,HU	2.4 	11.9 	-9.6 	-15.9 	-8.6 	-12.5 	16.8 	22.3 	17.8 	16.2 	16.1 	14.5 
CLV_PCH_SM,SCA,N11G,IE	34.8 	92.7 	54.7 	73.2 	60.1 	32.9 	-21.9 	-8.9 	-43.9 	-43.6 	-0.5 	-32.0 
CLV_PCH_SM,SCA,N11G,IT	3.1 	2.1 	2.9 	2.2 	3.5 	6.1 	3.1 	4.6 	5.6 	4.4 	4.9 	6.3 
CLV_PCH_SM,SCA,N11G,LT	5.2 	-0.6 	-1.4 	-1.3 	-1.2 	6.8 	3.0 	4.1 	8.4 	9.7 	8.1 	7.3 
CLV_PCH_SM,SCA,N11G,LU	-6.7 	-19.7 	-5.6 	11.2 	11.5 	25.4 	16.4 	13.3 	-5.5 	-6.3 	-11.2 	-14.4 
CLV_PCH_SM,SCA,N11G,LV	-1.8 	-2.8 	-5.6 	-15.6 	-6.7 	-3.8 	4.9 	18.1 	16.2 	12.0 	20.5 	13.1 
CLV_PCH_SM,SCA,N11G,MT	81.8 	50.9 	19.1 	1.0 	-13.7 	6.0 	7.5 	-28.5 	-5.9 	0.9 	-15.2 	12.2 
CLV_PCH_SM,SCA,N11G,NL	12.3 	12.0 	45.2 p	-42.7 p	8.8 p	5.0 p	5.9 p	4.9 p	7.1 p	6.8 p	6.5 p	5.7 p
CLV_PCH_SM,SCA,N11G,NO	-5.0 	-3.2 	-0.7 	3.0 	9.3 	9.0 	7.9 	4.3 	0.4 	2.2 	-4.9 	0.0 
CLV_PCH_SM,SCA,N11G,PL	5.7 	5.1 	-9.1 	-6.2 	-8.2 	-9.6 	2.0 	1.6 	3.5 	5.2 	6.8 	5.4 
CLV_PCH_SM,SCA,N11G,PT	3.8 	2.4 	-0.8 	-0.6 	3.5 	7.4 	10.2 	11.3 	9.3 	6.1 	4.3 	3.7 
CLV_PCH_SM,SCA,N11G,RO	1.8 	15.9 	3.5 p	4.4 p	0.7 p	-12.7 p	-0.9 p	-0.5 p	6.8 p	9.2 p	3.3 p	-1.5 p
CLV_PCH_SM,SCA,N11G,SE	5.9 	6.3 	4.8 	4.5 	4.7 	1.8 	5.1 	5.7 	8.6 	6.5 	6.4 	3.9 
CLV_PCH_SM,SCA,N11G,SI	-3.3 	2.5 	-9.0 	-4.0 	-1.6 	0.1 	13.2 	10.0 	8.0 	12.0 	9.7 	8.3 
CLV_PCH_SM,SCA,N11G,UK	1.3 d	2.5 d	0.8 d	1.1 d	4.9 d	2.5 d	3.4 d	3.7 d	2.4 d	3.7 d	1.7 d	-0.6 d
CLV_PCH_SM,SCA,N11KG,AT	-0.1 	-1.0 	-2.1 	0.0 	0.7 	3.0 	3.8 	3.7 	3.2 	3.1 	2.2 	2.8 
CLV_PCH_SM,SCA,N11KG,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_SM,SCA,N11KG,BG	-4.3 	-2.8 	2.9 	0.0 	-2.7 	-3.9 	-9.9 	-3.7 	-2.8 	2.4 	7.1 p	4.6 p
CLV_PCH_SM,SCA,N11KG,CY	0.9 	11.4 	5.7 	19.5 	28.2 	33.1 	39.6 	29.8 	18.4 	15.2 	13.6 	12.7 
CLV_PCH_SM,SCA,N11KG,CZ	13.3 	9.5 	1.2 	-10.9 	-11.4 	-6.8 	-6.7 	7.6 	8.0 	6.1 	12.8 	10.3 
CLV_PCH_SM,SCA,N11KG,DE	-1.8 	0.0 	4.2 	3.7 	3.8 	2.5 	2.4 	4.8 	4.4 	3.4 	2.5 	2.4 
CLV_PCH_SM,SCA,N11KG,DK	6.5 	0.6 	9.0 	6.6 	3.2 	2.1 	3.9 	5.9 	5.6 	7.1 	7.0 	5.8 
CLV_PCH_SM,SCA,N11KG,EA	0.2 	1.4 	1.4 	2.7 	3.5 	3.4 	3.9 	4.5 	4.3 	4.2 	3.6 	3.8 
CLV_PCH_SM,SCA,N11KG,EA19	0.2 	1.4 	1.4 	2.7 	3.5 	3.4 	3.9 	4.5 	4.3 	4.2 	3.6 	3.8 
CLV_PCH_SM,SCA,N11KG,EE	6.6 	3.2 	2.8 	20.4 	-3.0 	-11.6 	4.3 	1.8 	10.7 	-0.3 	0.9 	7.3 
CLV_PCH_SM,SCA,N11KG,EL	-17.3 	20.8 	19.0 	20.0 	34.8 	1.8 	-2.9 	-3.0 p	-14.4 p	5.1 p	5.5 p	6.7 p
CLV_PCH_SM,SCA,N11KG,ES	3.7 	4.4 	0.6 p	0.8 p	0.6 p	2.3 p	3.9 p	4.1 p	5.7 p	4.8 p	5.7 p	7.0 p
CLV_PCH_SM,SCA,N11KG,EU28	1.6 	2.7 	1.6 	1.9 	3.0 	2.5 	4.3 	5.0 	4.8 	5.0 	3.5 	3.4 
CLV_PCH_SM,SCA,N11KG,FI	2.8 	6.1 	10.6 	8.8 	10.7 	9.9 	5.2 	6.8 	4.4 	4.2 	6.9 	5.7 
CLV_PCH_SM,SCA,N11KG,FR	-1.4 	0.1 	-0.1 	1.1 	1.3 	1.7 	3.5 	3.7 	4.2 	3.5 	2.1 	1.8 
CLV_PCH_SM,SCA,N11KG,IE	4.9 	11.8 	4.1 	19.0 	26.6 	21.4 	24.4 	13.6 	12.6 	18.7 	11.3 	12.8 
CLV_PCH_SM,SCA,N11KG,IT	-0.1 	1.1 	1.4 	1.5 	1.5 	0.6 	1.5 	1.1 	2.1 	3.0 	1.9 	2.8 
CLV_PCH_SM,SCA,N11KG,LT	-3.1 	-4.8 	-14.4 	-8.1 	-4.3 	-1.5 	6.1 	3.2 	6.5 	8.1 	12.2 	9.4 
CLV_PCH_SM,SCA,N11KG,LU	-4.8 	-2.2 	8.8 	5.4 	9.3 	8.8 	-7.7 	2.0 	-4.0 	-5.6 	11.9 	1.0 
CLV_PCH_SM,SCA,N11KG,LV	1.9 	-4.9 	-15.8 	-26.2 	-20.7 	-19.7 	-0.1 	10.6 	19.5 	23.4 	38.1 	32.2 
CLV_PCH_SM,SCA,N11KG,MT	55.6 	51.2 	-22.7 	-28.9 	-10.2 	4.3 	84.7 	21.4 	1.6 	3.4 	-25.1 	5.7 
CLV_PCH_SM,SCA,N11KG,NL	16.8 	1.6 	9.9 p	6.0 p	10.9 p	15.6 p	6.5 p	7.6 p	4.6 p	6.8 p	6.1 p	7.9 p
CLV_PCH_SM,SCA,N11KG,NO	-4.5 	-0.5 	-4.0 	0.1 	2.8 	4.1 	6.6 	2.4 	0.9 	-0.4 	-0.5 	-5.1 
CLV_PCH_SM,SCA,N11KG,PT	3.0 	3.5 	-4.2 	-3.6 	-0.8 	2.8 	9.3 	9.5 	8.1 	6.5 	2.0 	3.2 
CLV_PCH_SM,SCA,N11KG,SE	7.1 	10.3 	10.2 	4.5 	7.5 	7.1 	5.6 	11.2 	10.0 	6.9 	8.7 	3.7 
CLV_PCH_SM,SCA,N11KG,SI	-9.1 	-2.3 	-27.4 	-16.8 	-7.3 	-8.6 	21.1 	9.9 	2.7 	12.2 	11.4 	11.9 
CLV_PCH_SM,SCA,N11KG,UK	4.4 d	4.2 d	2.7 d	1.1 d	4.3 d	3.4 d	6.9 d	6.2 d	5.5 d	6.3 d	0.2 d	-0.4 d
CLV_PCH_SM,SCA,N11MG,AT	7.2 	7.9 	14.9 	13.3 	5.6 	9.1 	3.1 	4.5 	6.5 	4.3 	2.3 	5.4 
CLV_PCH_SM,SCA,N11MG,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_SM,SCA,N11MG,BG	8.8 	3.8 	-5.8 	-9.7 	-12.4 	-12.6 	-4.3 	2.2 	3.2 	7.5 	9.8 p	7.9 p
CLV_PCH_SM,SCA,N11MG,CY	: c	: c	: 	: c	: c	: c	: 	: c	: c	: c	: 	: c
CLV_PCH_SM,SCA,N11MG,CZ	10.3 	9.6 	1.5 	-3.8 	-1.7 	-6.7 	0.1 	5.4 	4.0 	6.1 	11.0 	7.8 
CLV_PCH_SM,SCA,N11MG,DE	5.1 	5.0 	5.6 	2.4 	2.1 	-1.5 	0.7 	5.4 	5.6 	6.8 	6.8 	4.4 
CLV_PCH_SM,SCA,N11MG,DK	-1.9 	0.9 	-3.3 	-3.1 	8.9 	10.3 	5.1 	9.9 	11.1 	6.3 	18.0 	35.7 
CLV_PCH_SM,SCA,N11MG,EA	5.3 	6.8 	6.4 	7.6 	5.7 	3.6 	4.2 	4.4 	5.8 	6.8 	5.5 	6.6 
CLV_PCH_SM,SCA,N11MG,EA19	5.3 	6.8 	6.4 	7.6 	5.7 	3.6 	4.2 	4.4 	5.8 	6.8 	5.5 	6.6 
CLV_PCH_SM,SCA,N11MG,EE	-17.3 	-17.4 	13.4 	-11.9 	9.5 	13.5 	37.3 	49.4 	23.7 	5.8 	-26.6 	-17.5 
CLV_PCH_SM,SCA,N11MG,EL	6.3 	-12.2 	-27.3 	11.6 	-0.7 	-23.5 	46.8 	6.3 	1.4 p	58.4 p	-21.6 p	-15.0 p
CLV_PCH_SM,SCA,N11MG,ES	14.0 	14.0 	9.7 p	5.5 p	4.2 p	1.7 p	7.0 p	3.3 p	6.8 p	7.0 p	1.9 p	11.1 p
CLV_PCH_SM,SCA,N11MG,EU28	4.1 	6.5 	3.5 	5.5 	5.2 	2.3 	3.4 	4.1 	4.8 	5.7 	5.6 	5.5 
CLV_PCH_SM,SCA,N11MG,FI	-0.5 	7.9 	5.6 	18.1 	7.1 	24.0 	13.8 	1.0 	15.1 	-1.5 	-5.2 	4.2 
CLV_PCH_SM,SCA,N11MG,FR	4.0 	7.1 	9.0 	10.4 	4.0 	1.3 	1.5 	2.3 	6.0 	7.4 	3.0 	4.0 
CLV_PCH_SM,SCA,N11MG,IE	-20.4 	-10.2 	21.0 	18.6 	37.5 	23.2 	-10.7 	3.1 	-31.1 	-6.9 	39.2 	6.8 
CLV_PCH_SM,SCA,N11MG,IT	6.6 	2.0 	4.0 	2.0 	6.0 	14.5 	4.8 	10.2 	12.0 	8.3 	12.1 	15.3 
CLV_PCH_SM,SCA,N11MG,LT	24.6 	8.4 	0.7 	10.6 	5.8 	19.1 	8.6 	3.4 	7.9 	14.2 	6.2 	6.1 
CLV_PCH_SM,SCA,N11MG,LU	-9.2 	-39.7 	-17.9 	14.4 	17.6 	56.8 	62.3 	40.3 	-13.2 	-12.8 	-34.1 	-38.7 
CLV_PCH_SM,SCA,N11MG,LV	-4.8 	2.0 	5.7 	0.1 	16.6 	17.9 	16.0 	18.3 	7.3 	-0.9 	6.2 	5.0 
CLV_PCH_SM,SCA,N11MG,MT	164.3 	68.2 	92.2 	22.6 	-22.7 	9.6 	-42.1 	-60.8 	-17.9 	-3.3 	-9.0 	25.1 
CLV_PCH_SM,SCA,N11MG,NL	8.5 	27.1 	9.4 p	15.2 p	7.9 p	-10.2 p	6.3 p	3.1 p	15.2 p	9.3 p	10.1 p	4.0 p
CLV_PCH_SM,SCA,N11MG,NO	-7.8 	-10.9 	9.3 	22.1 	46.1 	34.4 	16.9 	13.0 	-3.5 	11.0 	-6.2 	4.6 
CLV_PCH_SM,SCA,N11MG,PT	7.3 	2.0 	2.7 	1.8 	9.6 	16.2 	15.0 	18.3 	14.3 	7.1 	7.9 	4.4 
CLV_PCH_SM,SCA,N11MG,SE	2.6 	7.6 	0.7 	6.1 	7.9 	5.4 	7.2 	5.5 	7.9 	4.3 	3.2 	0.3 
CLV_PCH_SM,SCA,N11MG,SI	5.6 	12.0 	6.9 	9.6 	5.3 	7.6 	13.9 	12.2 	11.4 	10.5 	9.1 	5.4 
CLV_PCH_SM,SCA,N11MG,UK	-2.5 d	4.3 d	-4.1 d	2.4 d	9.2 d	1.0 d	-2.0 d	-0.1 d	-4.9 d	-3.3 d	0.7 d	-7.2 d
CLV_PCH_SM,SCA,N11OG,AT	2.5 	1.6 	12.1 	8.5 	6.3 	7.9 	-0.4 	0.3 	2.3 	3.2 	4.8 	4.3 
CLV_PCH_SM,SCA,N11OG,CY	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_SM,SCA,N11OG,EE	-5.8 	4.0 	9.6 	-19.1 	-5.5 	15.9 	36.0 	6.1 	41.2 	14.4 	-22.6 	12.0 
CLV_PCH_SM,SCA,N11OG,EL	-3.1 	11.3 	-10.8 	-14.2 	7.7 	-19.7 	-2.3 	2.3 	-1.7 p	23.3 p	19.0 p	19.3 p
CLV_PCH_SM,SCA,N11OG,IE	-13.2 	-14.5 	-29.6 	-12.1 	-19.9 	-24.5 	-20.9 	-25.6 	-24.0 	-22.4 	25.6 	21.6 
CLV_PCH_SM,SCA,N11OG,LT	29.4 	11.4 	0.2 	-10.9 	7.9 	20.5 	10.2 	13.3 	1.9 	0.9 	7.1 	4.4 
CLV_PCH_SM,SCA,N11OG,NL	0.2 	-2.5 	-3.7 p	-2.4 p	-2.6 p	-6.2 p	0.5 p	3.2 p	7.0 p	15.6 p	7.4 p	7.4 p
CLV_PCH_SM,SCA,N11OG,NO	-6.0 	-7.9 	9.7 	7.3 	8.3 	12.9 	0.6 	-7.9 	1.3 	3.2 	0.7 	15.4 
CLV_PCH_SM,SCA,N11OG,SE	2.7 	7.3 	-0.3 	5.9 	5.1 	7.5 	6.9 	6.8 	10.1 	2.1 	1.4 	-6.6 
CLV_PCH_SM,SCA,N11OG,UK	-4.8 d	1.5 d	-5.1 d	-2.9 d	-4.3 d	-6.4 d	-3.2 d	0.8 d	0.7 d	1.5 d	2.1 d	-5.1 d
