indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,MIG_ING,NSA,PCH_M12_NSA,LV	2.3 	2.5 	2.2 	1.1 	-0.2 	0.3 	-0.5 	0.2 	1.1 	1.1 	1.6 	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,NL	4.5 	4.5 	3.3 	1.4 	-0.4 	-0.4 	-0.2 p	1.7 p	3.0 p	4.1 p	4.9 p	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_ING,NSA,PCH_M12_NSA,SE	5.5 	4.6 	4.8 	4.5 	5.2 	6.9 	7.6 	9.7 	10.4 	11.3 	13.1 	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,SI	5.9 	5.3 	3.9 	2.8 	2.1 	1.3 	2.0 	3.1 	4.8 	4.7 	5.8 	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,SK	5.9 	5.6 	6.4 	5.9 	5.4 	4.6 	3.5 	3.6 	4.4 	4.6 	: 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,CH	1.3 	1.1 	0.2 	0.7 	1.0 	-0.1 	0.3 	2.0 	-0.2 	-0.2 	-0.2 	-0.4 
IMPR,MIG_ING,NSA,PCH_M1_NSA,DE	0.7 	0.3 	0.1 	0.8 	0.1 	0.0 	0.2 	0.9 	0.8 	-0.1 	-0.2 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,DK	0.5 	0.7 	0.0 	0.9 	0.4 	-0.1 	0.3 	-0.1 	0.7 	0.3 	0.0 	-0.2 
IMPR,MIG_ING,NSA,PCH_M1_NSA,EA19	0.6 	0.2 	0.1 	0.4 	0.1 	0.1 	0.2 	0.7 	0.6 	-0.1 	: 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,EE	0.8 	0.6 	-0.1 	0.6 	0.4 	0.2 	0.0 	1.2 	1.3 	-0.3 	0.3 	0.1 
IMPR,MIG_ING,NSA,PCH_M1_NSA,EL	0.3 	0.1 	0.3 	0.0 	-0.1 	0.2 	0.0 	0.3 	0.2 	-0.1 	0.1 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,ES	0.6 	0.4 	0.1 	0.1 	0.1 	0.1 	0.2 	0.8 	0.5 p	0.4 p	0.2 p	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,FI	0.6 	0.4 	0.2 	0.3 	0.7 	0.4 	0.9 	1.0 	0.4 	-0.1 	0.1 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,FR	0.7 	-0.2 	0.1 	0.1 	0.0 	0.2 	0.4 	0.4 	0.7 p	-0.1 p	0.0 p	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,IT	0.2 	0.2 	0.2 	0.1 	0.0 	0.3 	0.1 	0.2 	0.5 	0.4 	0.2 p	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,LT	0.1 	0.1 	0.3 	0.6 	0.2 	0.2 	0.2 	0.6 	0.6 	0.0 	: 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,LV	-0.2 	0.9 	-0.1 	0.0 	-0.2 	0.4 	-0.1 	0.4 	0.7 	-0.2 	0.3 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,NL	0.9 	0.7 	0.1 	0.3 	-0.1 	0.3 	0.2 p	0.8 p	0.7 p	0.0 p	0.5 p	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_ING,NSA,PCH_M1_NSA,SE	0.4 	1.2 	2.5 	1.4 	-0.5 	1.8 	1.4 	2.6 	0.8 	0.7 	0.2 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,SI	0.9 	0.8 	0.1 	0.5 	0.1 	0.1 	1.0 	0.5 	0.8 	-0.3 	0.8 	: 
IMPR,MIG_ING,NSA,PCH_M1_NSA,SK	0.7 	0.6 	1.3 	0.3 	0.2 	-0.3 	-0.1 	1.0 	0.4 	0.2 	: 	: 
