indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,C,NSA,PCH_M12_NSA,EL	1.2 	1.7 	0.7 	0.6 	-0.1 	0.5 	0.9 	2.4 	2.8 	2.7 	2.5 	: 
IMPR,C,NSA,PCH_M12_NSA,ES	1.3 	1.6 	0.2 	-0.4 	-0.7 	-0.4 	-0.5 	1.4 	2.2 p	2.8 p	3.1 p	: 
IMPR,C,NSA,PCH_M12_NSA,FI	1.8 	2.0 	1.1 	0.9 	-0.3 	0.1 	0.6 	2.6 	3.2 	3.3 	3.6 	: 
IMPR,C,NSA,PCH_M12_NSA,FR	1.3 	1.5 	0.5 	0.3 	-0.5 	-0.2 	0.1 	1.4 	2.3 p	2.5 p	2.3 p	: 
IMPR,C,NSA,PCH_M12_NSA,IT	1.6 	1.7 	1.5 	1.1 	0.4 	0.3 	0.2 	0.2 	0.7 	1.3 	1.6 p	: 
IMPR,C,NSA,PCH_M12_NSA,LT	1.3 	1.3 	1.0 	0.2 	0.0 	-0.6 	-0.2 	-0.1 	0.3 	0.7 	: 	: 
IMPR,C,NSA,PCH_M12_NSA,LV	1.6 	1.9 	1.3 	0.3 	-0.1 	0.1 	0.6 	0.8 	1.6 	1.8 	2.2 	: 
IMPR,C,NSA,PCH_M12_NSA,NL	0.8 	1.0 	-0.3 	-0.8 	-2.2 	-1.7 	-1.5 p	1.2 p	2.1 p	2.4 p	3.3 p	: 
IMPR,C,NSA,PCH_M12_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,C,NSA,PCH_M12_NSA,SE	1.7 	1.7 	1.7 	1.4 	1.9 	3.7 	4.7 	6.8 	7.0 	7.5 	9.0 	: 
IMPR,C,NSA,PCH_M12_NSA,SI	2.4 	2.8 	1.7 	0.7 	0.5 	0.3 	0.9 	1.8 	3.3 	3.5 	3.8 	: 
IMPR,C,NSA,PCH_M12_NSA,SK	0.8 	0.5 	0.4 	3.1 	2.7 	2.7 	1.7 	2.5 	3.0 	3.3 	: 	: 
IMPR,C,NSA,PCH_M1_NSA,CH	1.0 	0.8 	0.3 	0.4 	0.3 	-0.8 	0.9 	0.9 	0.4 	-0.1 	0.1 	-0.2 
IMPR,C,NSA,PCH_M1_NSA,DE	0.4 	0.3 	0.0 	0.2 	-0.1 	0.0 	0.3 	0.9 	0.4 	-0.1 	0.1 	: 
IMPR,C,NSA,PCH_M1_NSA,DK	0.3 	0.2 	-0.2 	0.5 	-0.4 	0.0 	0.6 	0.3 	0.6 	0.3 	0.1 	-0.1 
IMPR,C,NSA,PCH_M1_NSA,EA19	0.3 	0.4 	0.0 	0.1 	-0.3 	0.0 	0.4 	0.9 	0.3 	0.0 	: 	: 
IMPR,C,NSA,PCH_M1_NSA,EE	0.7 	0.6 	-0.1 	0.2 	0.0 	0.2 	0.6 	0.8 	0.7 	-0.2 	0.2 	0.4 
IMPR,C,NSA,PCH_M1_NSA,EL	0.3 	0.3 	0.2 	0.2 	-0.7 	0.2 	0.5 	1.0 	0.0 	0.1 	0.0 	: 
IMPR,C,NSA,PCH_M1_NSA,ES	0.4 	0.6 	-0.1 	-0.1 	-0.1 	0.2 	0.2 	1.0 	0.3 p	0.2 p	0.2 p	: 
IMPR,C,NSA,PCH_M1_NSA,FI	0.4 	0.4 	0.1 	0.2 	-0.3 	0.2 	0.5 	1.4 	0.1 	0.0 	0.3 	: 
IMPR,C,NSA,PCH_M1_NSA,FR	0.2 	0.3 	0.0 	0.0 	-0.4 	0.2 	0.5 	0.8 	0.3 p	0.1 p	0.0 p	: 
IMPR,C,NSA,PCH_M1_NSA,IT	0.1 	0.3 	0.0 	0.0 	-0.2 	0.1 	0.1 	0.0 	0.5 	0.4 	0.1 p	: 
IMPR,C,NSA,PCH_M1_NSA,LT	0.2 	0.1 	0.2 	0.0 	-0.2 	-0.2 	0.3 	0.1 	0.2 	0.2 	: 	: 
IMPR,C,NSA,PCH_M1_NSA,LV	0.6 	0.7 	0.2 	-0.2 	0.2 	-0.4 	0.5 	0.2 	0.6 	-0.2 	0.2 	: 
IMPR,C,NSA,PCH_M1_NSA,NL	0.5 	0.6 	0.1 	-0.2 	-0.7 	0.0 	0.2 p	1.7 p	0.6 p	-0.3 p	0.5 p	: 
IMPR,C,NSA,PCH_M1_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,C,NSA,PCH_M1_NSA,SE	0.0 	1.1 	2.0 	0.5 	-1.1 	1.4 	1.4 	2.5 	0.5 	0.6 	-0.2 	: 
IMPR,C,NSA,PCH_M1_NSA,SI	0.6 	0.7 	0.2 	-0.2 	-0.1 	0.1 	0.6 	0.6 	0.6 	-0.2 	0.7 	: 
IMPR,C,NSA,PCH_M1_NSA,SK	0.2 	0.3 	0.1 	2.5 	-0.1 	-0.3 	-0.3 	0.7 	0.3 	0.2 	: 	: 
