Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,age,topn,personality
67,327,114.0,3,3.0,3.0,9.02,0,0.61,22,34,1
68,316,107.0,2,3.5,3.5,8.64,1,0.57,23,35,1
69,318,,3,3.5,4.0,9.22,1,0.68,19,33,1
70,328,115.0,4,4.5,4.0,9.16,1,0.78,23,66,1
71,332,118.0,5,5.0,5.0,9.64,1,0.94,24,28,1
72,336,112.0,5,5.0,5.0,9.76,1,0.96,20,95,1
73,321,,5,5.0,5.0,9.45,1,0.93,23,44,1
74,314,,4,4.5,4.0,9.04,1,0.84,a,7,1
75,314,106.0,3,3.0,5.0,8.9,0,0.74,18,33,1
76,329,114.0,2,2.0,4.0,8.56,1,0.72,21,25,1
77,327,,3,3.0,3.0,8.72,1,0.74,25,68,1
78,301,99.0,2,3.0,2.0,8.22,0,0.64,23,40,1
79,296,95.0,2,3.0,2.0,7.54,1,0.44,25,90,1
80,294,93.0,1,1.5,2.0,7.36,0,0.46,24,12,1
81,312,105.0,3,2.0,3.0,8.02,1,0.5,24,74,1
82,340,120.0,4,5.0,5.0,9.5,1,0.96,25,54,1
83,320,110.0,5,5.0,4.5,9.22,1,0.92,19,40,1
84,322,115.0,5,4.0,4.5,9.36,1,0.92,22,75,1
85,340,,5,4.5,4.5,9.45,1,0.94,19,25,1
86,319,,4,4.5,3.5,8.66,0,0.76,25,96,1
87,315,,3,4.5,3.5,8.42,0,0.72,22,37,1
88,317,,2,3.5,3.0,8.28,0,0.66,19,49,1
89,314,108.0,3,4.5,3.5,8.14,0,0.64,20,41,1
90,316,109.0,4,4.5,3.5,8.76,1,0.74,22,40,1
91,318,106.0,2,4.0,4.0,7.92,1,0.64,20,6,1
92,299,97.0,3,5.0,3.5,7.66,0,0.38,19,92,1
93,298,98.0,2,4.0,3.0,8.03,0,0.34,20,54,1
94,301,97.0,2,3.0,3.0,7.88,1,0.44,19,68,1
95,303,99.0,3,2.0,2.5,7.66,0,0.36,26,3,1
96,304,100.0,4,1.5,2.5,7.84,0,0.42,24,79,1
97,306,100.0,2,3.0,3.0,8.0,0,0.48,26,65,1
98,331,120.0,3,4.0,4.0,8.96,1,0.86,18,22,1
99,332,,4,5.0,4.5,9.24,1,0.9,22,66,1
100,323,113.0,3,4.0,4.0,8.88,1,0.79,23,39,1
101,322,,3,3.5,3.5,8.46,1,0.71,20,86,1
102,312,105.0,2,2.5,3.0,8.12,0,0.64,26,35,1
103,314,,2,4.0,3.5,8.25,0,0.62,25,75,1
104,317,,2,4.5,4.0,8.47,0,0.57,25,28,1
105,326,112.0,3,3.5,3.0,9.05,1,0.74,23,94,1
106,316,110.0,3,4.0,4.5,8.78,1,0.69,20,65,1
107,329,111.0,4,4.5,4.5,9.18,1,0.87,26,74,1
108,338,117.0,4,3.5,4.5,9.46,1,0.91,25,68,1
109,331,116.0,5,5.0,5.0,9.38,1,0.93,22,73,1
110,304,,5,5.0,4.0,8.64,0,0.68,26,71,1
111,305,,5,3.0,3.0,8.48,0,0.61,25,11,1
112,321,109.0,4,4.0,4.0,8.68,1,0.69,21,44,1
113,301,,3,3.5,3.5,8.34,1,0.62,23,70,1
114,320,110.0,2,4.0,3.5,8.56,0,0.72,23,38,1
115,311,,3,3.5,3.0,8.45,1,0.59,18,28,1
116,310,,4,4.5,4.5,9.04,1,0.66,23,83,1
117,299,102.0,3,4.0,3.5,8.62,0,0.56,19,20,1
118,290,104.0,4,2.0,2.5,7.46,0,0.45,20,94,1
119,296,99.0,2,3.0,3.5,7.28,0,0.47,23,27,1
120,327,104.0,5,3.0,3.5,8.84,1,0.71,25,43,1
121,335,117.0,5,5.0,5.0,9.56,1,0.94,19,3,1
122,334,119.0,5,4.5,4.5,9.48,1,0.94,18,66,1
123,310,,4,1.5,2.5,8.36,0,0.57,22,63,1
124,308,,3,3.5,3.5,8.22,0,0.61,22,31,1
125,301,106.0,4,2.5,3.0,8.47,0,0.57,26,97,1
126,300,100.0,3,2.0,3.0,8.66,1,0.64,20,51,1
127,323,113.0,3,4.0,3.0,9.32,1,0.85,26,89,1
128,319,112.0,3,2.5,2.0,8.71,1,0.78,21,40,1
129,326,112.0,3,3.5,3.0,9.1,1,0.84,18,51,1
130,333,118.0,5,5.0,5.0,9.35,1,0.92,25,11,1
131,339,114.0,5,4.0,4.5,9.76,1,0.96,26,15,1
132,303,105.0,5,5.0,4.5,8.65,0,0.77,20,4,1
133,309,105.0,5,3.5,3.5,8.56,0,0.71,18,76,1
134,323,112.0,5,4.0,4.5,8.78,0,0.79,23,7,1
135,333,,5,4.0,4.0,9.28,1,0.89,26,79,1
136,314,109.0,4,3.5,4.0,8.77,1,0.82,24,79,1
137,312,103.0,3,5.0,4.0,8.45,0,0.76,18,29,1
138,316,100.0,2,1.5,3.0,8.16,1,0.71,18,35,1
139,326,,2,4.5,3.0,9.08,1,0.8,21,36,1
140,318,109.0,1,3.5,3.5,9.12,0,0.78,25,86,1
141,329,110.0,2,4.0,3.0,9.15,1,0.84,23,9,1
142,332,,2,4.5,3.5,9.36,1,0.9,26,32,1
143,331,,5,4.0,3.5,9.44,1,0.92,24,67,1
144,340,120.0,4,4.5,4.0,9.92,1,0.97,22,35,1
145,325,112.0,2,3.0,3.5,8.96,1,0.8,23,32,1
146,320,,2,2.0,2.5,8.64,1,0.81,22,42,1
147,315,105.0,3,2.0,2.5,8.48,0,0.75,25,3,1
148,326,,3,3.0,3.0,9.11,1,0.83,22,76,1
149,339,,4,4.0,3.5,9.8,1,0.96,23,31,1
150,311,106.0,2,3.5,3.0,8.26,1,0.79,23,80,1
151,334,114.0,4,4.0,4.0,9.43,1,0.93,23,3,1
152,332,116.0,5,5.0,5.0,9.28,1,0.94,20,64,1
153,321,112.0,5,5.0,5.0,9.06,1,0.86,20,31,1
154,324,105.0,3,3.0,4.0,8.75,0,0.79,25,30,1
155,326,108.0,3,3.0,3.5,8.89,0,0.8,18,64,1
156,312,109.0,3,3.0,3.0,8.69,0,0.77,22,34,1
157,315,105.0,3,2.0,2.5,8.34,0,0.7,21,62,1
158,309,104.0,2,2.0,2.5,8.26,0,0.65,24,37,1
159,306,106.0,2,2.0,2.5,8.14,0,0.61,24,61,1
160,297,100.0,1,1.5,2.0,7.9,0,0.52,23,78,1
161,315,103.0,1,1.5,2.0,7.86,0,0.57,19,22,1
162,298,99.0,1,1.5,3.0,7.46,0,0.53,20,95,1
163,318,109.0,3,3.0,3.0,8.5,0,0.67,20,5,1
164,317,105.0,3,3.5,3.0,8.56,0,0.68,18,27,1
165,329,111.0,4,4.5,4.0,9.01,1,0.81,18,80,1
166,322,110.0,5,4.5,4.0,8.97,0,0.78,23,27,1
167,302,102.0,3,3.5,5.0,8.33,0,0.65,24,46,1
168,313,,3,2.0,3.0,8.27,0,0.64,24,46,1
169,293,97.0,2,2.0,4.0,7.8,1,0.64,18,73,1
170,311,99.0,2,2.5,3.0,7.98,0,0.65,21,53,1
171,312,101.0,2,2.5,3.5,8.04,1,0.68,25,2,1
172,334,117.0,5,4.0,4.5,9.07,1,0.89,26,74,1
173,322,110.0,4,4.0,5.0,9.13,1,0.86,20,60,1
174,323,113.0,4,4.0,4.5,9.23,1,0.89,21,1,1
175,321,111.0,4,4.0,4.0,8.97,1,0.87,26,46,1
176,320,111.0,4,4.5,3.5,8.87,1,0.85,24,26,1
177,329,119.0,4,4.5,4.5,9.16,1,0.9,26,5,1
178,319,,3,3.5,3.5,9.04,0,0.82,22,13,1
179,309,108.0,3,2.5,3.0,8.12,0,0.72,22,81,1
180,307,102.0,3,3.0,3.0,8.27,0,0.73,25,24,1
181,300,,3,3.5,3.0,8.16,0,0.71,18,69,1
182,305,107.0,2,2.5,2.5,8.42,0,0.71,19,80,1
183,299,100.0,2,3.0,3.5,7.88,0,0.68,24,96,1
184,314,110.0,3,4.0,4.0,8.8,0,0.75,19,33,1
185,316,106.0,2,2.5,4.0,8.32,0,0.72,26,32,1
186,327,,4,4.5,4.5,9.11,1,0.89,18,55,1
187,317,107.0,3,3.5,3.0,8.68,1,0.84,25,63,1
188,335,118.0,5,4.5,3.5,9.44,1,0.93,22,19,1
189,331,,5,4.5,3.5,9.36,1,0.93,25,51,1
190,324,112.0,5,5.0,5.0,9.08,1,0.88,18,66,1
191,324,111.0,5,4.5,4.0,9.16,1,0.9,23,98,1
192,323,110.0,5,4.0,5.0,8.98,1,0.87,18,24,1
193,322,114.0,5,4.5,4.0,8.94,1,0.86,18,99,1
194,336,118.0,5,4.5,5.0,9.53,1,0.94,20,84,1
195,316,109.0,3,3.5,3.0,8.76,0,0.77,18,68,1
196,307,,2,3.0,3.5,8.52,1,0.78,24,17,1
197,306,105.0,2,3.0,2.5,8.26,0,0.73,25,35,1
198,310,106.0,2,3.5,2.5,8.33,0,0.73,24,61,1
199,311,,3,4.5,4.5,8.43,0,0.7,19,32,1
200,313,107.0,3,4.0,4.5,8.69,0,0.72,24,64,1
201,317,,3,2.5,3.0,8.54,1,0.73,19,55,1
202,315,,2,3.5,3.0,8.46,1,0.72,19,86,1
203,340,120.0,5,4.5,4.5,9.91,1,0.97,19,34,1
204,334,120.0,5,4.0,5.0,9.87,1,0.97,20,72,1
205,298,105.0,3,3.5,4.0,8.54,0,0.69,25,27,1
206,295,99.0,2,2.5,3.0,7.65,0,0.57,25,86,1
207,315,99.0,2,3.5,3.0,7.89,0,0.63,20,77,1
208,310,102.0,3,3.5,4.0,8.02,1,0.66,26,73,1
209,305,106.0,2,3.0,3.0,8.16,0,0.64,19,19,1
210,301,,3,3.5,4.0,8.12,1,0.68,19,25,1
211,325,108.0,4,4.5,4.0,9.06,1,0.79,20,14,1
212,328,110.0,4,5.0,4.0,9.14,1,0.82,18,37,1
213,338,120.0,4,5.0,5.0,9.66,1,0.95,19,53,1
214,333,119.0,5,5.0,4.5,9.78,1,0.96,21,77,1
215,331,117.0,4,4.5,5.0,9.42,1,0.94,22,81,1
216,330,116.0,5,5.0,4.5,9.36,1,0.93,24,87,1
217,322,112.0,4,4.5,4.5,9.26,1,0.91,23,11,1
218,321,109.0,4,4.0,4.0,9.13,1,0.85,22,43,1
219,324,110.0,4,3.0,3.5,8.97,1,0.84,21,71,1
220,312,104.0,3,3.5,3.5,8.42,0,0.74,26,45,1
221,313,,3,4.0,4.0,8.75,0,0.76,23,96,1
222,316,110.0,3,3.5,4.0,8.56,0,0.75,19,17,1
223,324,113.0,4,4.5,4.0,8.79,0,0.76,21,28,1
224,308,109.0,2,3.0,4.0,8.45,0,0.71,22,15,1
225,305,105.0,2,3.0,2.0,8.23,0,0.67,23,17,1
226,296,99.0,2,2.5,2.5,8.03,0,0.61,22,54,1
227,306,110.0,2,3.5,4.0,8.45,0,0.63,26,39,1
228,312,110.0,2,3.5,3.0,8.53,0,0.64,18,59,1
229,318,,3,4.0,3.5,8.67,0,0.71,18,86,1
230,324,111.0,4,3.0,3.0,9.01,1,0.82,20,32,1
231,313,104.0,3,4.0,4.5,8.65,0,0.73,20,39,1
232,319,106.0,3,3.5,2.5,8.33,1,0.74,21,78,1
233,312,107.0,2,2.5,3.5,8.27,0,0.69,19,17,1
234,304,100.0,2,2.5,3.5,8.07,0,0.64,23,66,1
235,330,113.0,5,5.0,4.0,9.31,1,0.91,19,78,1
236,326,111.0,5,4.5,4.0,9.23,1,0.88,23,77,1
237,325,112.0,4,4.0,4.5,9.17,1,0.85,21,65,1
238,329,114.0,5,4.5,5.0,9.19,1,0.86,18,93,1
239,310,104.0,3,2.0,3.5,8.37,0,0.7,23,30,1
240,299,100.0,1,1.5,2.0,7.89,0,0.59,18,88,1
241,296,101.0,1,2.5,3.0,7.68,0,0.6,22,19,1
242,317,103.0,2,2.5,2.0,8.15,0,0.65,21,69,1
243,324,115.0,3,3.5,3.0,8.76,1,0.7,18,21,1
244,325,114.0,3,3.5,3.0,9.04,1,0.76,24,87,1
245,314,107.0,2,2.5,4.0,8.56,0,0.63,26,80,1
246,328,110.0,4,4.0,2.5,9.02,1,0.81,23,74,1
247,316,105.0,3,3.0,3.5,8.73,0,0.72,25,4,1
248,311,104.0,2,2.5,3.5,8.48,0,0.71,20,19,1
249,324,110.0,3,3.5,4.0,8.87,1,0.8,24,16,1
250,321,,3,3.5,4.0,8.83,1,0.77,26,76,1
251,320,104.0,3,3.0,2.5,8.57,1,0.74,19,66,1
252,316,99.0,2,2.5,3.0,9.0,0,0.7,23,95,1
253,318,,2,2.5,3.5,8.54,1,0.71,24,20,1
254,335,115.0,4,4.5,4.5,9.68,1,0.93,20,84,1
255,321,114.0,4,4.0,5.0,9.12,0,0.85,26,30,1
256,307,110.0,4,4.0,4.5,8.37,0,0.79,26,52,1
257,309,,3,4.0,4.0,8.56,0,0.76,18,19,1
258,324,100.0,3,4.0,5.0,8.64,1,0.78,20,92,1
259,326,102.0,4,5.0,5.0,8.76,1,0.77,23,43,1
260,331,,4,5.0,4.5,9.34,1,0.9,20,76,1
261,327,,5,5.0,3.5,9.13,1,0.87,25,37,1
262,312,,3,3.5,4.0,8.09,0,0.71,23,1,1
263,308,103.0,2,2.5,4.0,8.36,1,0.7,19,38,1
264,324,111.0,3,2.5,1.5,8.79,1,0.7,18,84,1
265,325,,2,3.0,2.5,8.76,1,0.75,19,55,1
266,313,102.0,3,2.5,2.5,8.68,0,0.71,26,62,1
267,312,105.0,2,2.0,2.5,8.45,0,0.72,26,71,1
268,314,,3,3.0,3.5,8.17,1,0.73,26,72,1
269,327,113.0,4,4.5,5.0,9.14,0,0.83,19,3,1
270,308,,4,4.5,5.0,8.34,0,0.77,24,44,1
271,306,105.0,2,2.5,3.0,8.22,1,0.72,24,25,1
272,299,96.0,2,1.5,2.0,7.86,0,0.54,18,11,1
273,294,95.0,1,1.5,1.5,7.64,0,0.49,20,28,1
274,312,99.0,1,1.0,1.5,8.01,1,0.52,19,75,1
275,315,100.0,1,2.0,2.5,7.95,0,0.58,20,16,1
276,322,110.0,3,3.5,3.0,8.96,1,0.78,22,16,1
277,329,113.0,5,5.0,4.5,9.45,1,0.89,20,87,1
278,320,101.0,2,2.5,3.0,8.62,0,0.7,20,92,1
279,308,103.0,2,3.0,3.5,8.49,0,0.66,20,53,1
280,304,,2,3.0,4.0,8.73,0,0.67,24,1,1
281,311,,3,4.5,4.0,8.64,1,0.68,25,15,1
282,317,,3,4.0,4.5,9.11,1,0.8,18,44,1
283,312,106.0,3,4.0,3.5,8.79,1,0.81,21,49,1
284,321,111.0,3,2.5,3.0,8.9,1,0.8,21,36,1
285,340,,4,5.0,4.5,9.66,1,0.94,26,4,1
286,331,116.0,5,4.0,4.0,9.26,1,0.93,22,33,1
287,336,118.0,5,4.5,4.0,9.19,1,0.92,26,95,1
288,324,,5,5.0,4.5,9.08,1,0.89,19,47,1
289,314,,4,5.0,5.0,9.02,0,0.82,25,66,1
290,313,109.0,3,4.0,3.5,9.0,0,0.79,23,7,1
291,307,105.0,2,2.5,3.0,7.65,0,0.58,21,74,1
292,300,102.0,2,1.5,2.0,7.87,0,0.56,22,29,1
293,302,99.0,2,1.0,2.0,7.97,0,0.56,21,54,1
294,312,98.0,1,3.5,3.0,8.18,1,0.64,21,59,1
295,316,101.0,2,2.5,2.0,8.32,1,0.61,21,48,1
296,317,100.0,2,3.0,2.5,8.57,0,0.68,25,46,1
297,310,107.0,3,3.5,3.5,8.67,0,0.76,23,66,1
298,320,120.0,3,4.0,4.5,9.11,0,0.86,20,25,1
299,330,114.0,3,4.5,4.5,9.24,1,0.9,19,55,1
300,305,,3,3.0,3.5,8.65,0,0.71,25,46,1
301,309,106.0,2,2.5,2.5,8.0,0,0.62,18,7,1
302,319,108.0,2,2.5,3.0,8.76,0,0.66,22,3,1
303,322,,2,3.0,3.0,8.45,1,0.65,21,79,1
304,323,107.0,3,3.5,3.5,8.55,1,0.73,20,23,1
305,313,106.0,2,2.5,2.0,8.43,0,0.62,26,60,1
306,321,,3,3.5,3.5,8.8,1,0.74,20,94,1
307,323,110.0,3,4.0,3.5,9.1,1,0.79,24,28,1
308,325,112.0,4,4.0,4.0,9.0,1,0.8,21,29,1
309,312,108.0,3,3.5,3.0,8.53,0,0.69,23,19,1
310,308,110.0,4,3.5,3.0,8.6,0,0.7,18,52,1
311,320,,3,3.0,3.5,8.74,1,0.76,26,61,1
312,328,,4,4.5,4.0,9.18,1,0.84,24,8,1
313,311,,4,4.5,4.5,9.0,1,0.78,24,87,1
314,301,100.0,3,3.5,3.0,8.04,0,0.67,20,81,1
315,305,105.0,2,3.0,4.0,8.13,0,0.66,23,15,1
316,308,104.0,2,2.5,3.0,8.07,0,0.65,26,19,1
317,298,101.0,2,1.5,2.0,7.86,0,0.54,21,86,1
318,300,99.0,1,1.0,2.5,8.01,0,0.58,22,88,1
319,324,111.0,3,2.5,2.0,8.8,1,0.79,25,73,1
320,327,113.0,4,3.5,3.0,8.69,1,0.8,21,10,1
321,317,106.0,3,4.0,3.5,8.5,1,0.75,21,39,1
322,323,104.0,3,4.0,4.0,8.44,1,0.73,23,9,1
323,314,107.0,2,2.5,4.0,8.27,0,0.72,22,34,1
324,305,102.0,2,2.0,2.5,8.18,0,0.62,19,85,1
325,315,104.0,3,3.0,2.5,8.33,0,0.67,26,96,1
326,326,116.0,3,3.5,4.0,9.14,1,0.81,25,7,1
327,299,100.0,3,2.0,2.0,8.02,0,0.63,25,24,1
328,295,101.0,2,2.5,2.0,7.86,0,0.69,25,25,1
329,324,112.0,4,4.0,3.5,8.77,1,0.8,18,62,1
330,297,96.0,2,2.5,1.5,7.89,0,0.43,26,25,1
331,327,113.0,3,3.5,3.0,8.66,1,0.8,24,60,1
332,311,105.0,2,3.0,2.0,8.12,1,0.73,22,35,1
333,308,,3,3.5,2.5,8.21,1,0.75,22,37,1
334,319,108.0,3,3.0,3.5,8.54,1,0.71,19,92,1
335,312,107.0,4,4.5,4.0,8.65,1,0.73,19,41,1
336,325,111.0,4,4.0,4.5,9.11,1,0.83,26,49,1
337,319,110.0,3,3.0,2.5,8.79,0,0.72,22,93,1
338,332,118.0,5,5.0,5.0,9.47,1,0.94,18,52,1
339,323,,5,4.0,4.0,8.74,1,0.81,23,95,1
340,324,107.0,5,3.5,4.0,8.66,1,0.81,25,60,1
341,312,107.0,3,3.0,3.0,8.46,1,0.75,24,77,1
342,326,110.0,3,3.5,3.5,8.76,1,0.79,23,16,1
343,308,106.0,3,3.0,3.0,8.24,0,0.58,18,38,1
344,305,,2,2.5,3.5,8.13,0,0.59,25,18,1
345,295,96.0,2,1.5,2.0,7.34,0,0.47,18,26,1
346,316,98.0,1,1.5,2.0,7.43,0,0.49,22,94,1
347,304,97.0,2,1.5,2.0,7.64,0,0.47,23,88,1
348,299,94.0,1,1.0,1.0,7.34,0,0.42,26,42,1
349,302,99.0,1,2.0,2.0,7.25,0,0.57,19,37,1
350,313,101.0,3,2.5,3.0,8.04,0,0.62,23,87,1
351,318,107.0,3,3.0,3.5,8.27,1,0.74,19,62,1
352,325,110.0,4,3.5,4.0,8.67,1,0.73,23,46,1
353,303,100.0,2,3.0,3.5,8.06,1,0.64,24,95,1
354,300,102.0,3,3.5,2.5,8.17,0,0.63,26,94,1
355,297,98.0,2,2.5,3.0,7.67,0,0.59,19,54,1
356,317,106.0,2,2.0,3.5,8.12,0,0.73,19,94,1
357,327,109.0,3,3.5,4.0,8.77,1,0.79,21,12,1
358,301,104.0,2,3.5,3.5,7.89,1,0.68,22,98,1
359,314,105.0,2,2.5,2.0,7.64,0,0.7,24,64,1
360,321,107.0,2,2.0,1.5,8.44,0,0.81,26,31,1
361,322,,3,4.0,5.0,8.64,1,0.85,22,47,1
362,334,116.0,4,4.0,3.5,9.54,1,0.93,22,36,1
363,338,115.0,5,4.5,5.0,9.23,1,0.91,20,23,1
364,306,103.0,2,2.5,3.0,8.36,0,0.69,22,14,1
365,313,102.0,3,3.5,4.0,8.9,1,0.77,23,80,1
366,330,,4,4.5,3.0,9.17,1,0.86,22,59,1
367,320,,3,3.5,4.5,8.34,1,0.74,26,21,1
368,311,98.0,1,1.0,2.5,7.46,0,0.57,18,39,1
369,298,92.0,1,2.0,2.0,7.88,0,0.51,20,19,1
370,301,98.0,1,2.0,3.0,8.03,1,0.67,22,5,1
371,310,103.0,2,2.5,2.5,8.24,0,0.72,19,16,1
372,324,110.0,3,3.5,3.0,9.22,1,0.89,26,33,1
373,336,119.0,4,4.5,4.0,9.62,1,0.95,21,66,1
374,321,109.0,3,3.0,3.0,8.54,1,0.79,23,28,1
375,315,,2,2.0,2.5,7.65,0,0.39,18,8,1
376,304,101.0,2,2.0,2.5,7.66,0,0.38,18,30,1
377,297,,2,2.5,2.0,7.43,0,0.34,26,12,1
378,290,,1,1.5,2.0,7.56,0,0.47,23,55,1
379,303,,1,2.0,2.5,7.65,0,0.56,19,56,1
380,311,99.0,1,2.5,3.0,8.43,1,0.71,26,52,1
381,322,104.0,3,3.5,4.0,8.84,1,0.78,20,42,1
382,319,105.0,3,3.0,3.5,8.67,1,0.73,18,84,1
383,324,,4,4.5,4.0,9.15,1,0.82,23,1,1
384,300,100.0,3,3.0,3.5,8.26,0,0.62,23,17,1
385,340,113.0,4,5.0,5.0,9.74,1,0.96,21,8,1
386,335,117.0,5,5.0,5.0,9.82,1,0.96,19,55,1
387,302,,2,2.5,3.5,7.96,0,0.46,26,54,1
388,307,105.0,2,2.0,3.5,8.1,0,0.53,20,92,1
389,296,97.0,2,1.5,2.0,7.8,0,0.49,26,42,1
390,320,108.0,3,3.5,4.0,8.44,1,0.76,22,83,1
391,314,102.0,2,2.0,2.5,8.24,0,0.64,22,26,1
392,318,,3,2.0,3.0,8.65,0,0.71,24,27,1
393,326,,4,4.0,3.5,9.12,1,0.84,23,81,1
394,317,104.0,2,3.0,3.0,8.76,0,0.77,20,68,1
395,329,111.0,4,4.5,4.0,9.23,1,0.89,23,6,1
396,324,,3,3.5,3.5,9.04,1,0.82,23,74,1
397,325,107.0,3,3.0,3.5,9.11,1,0.84,18,40,1
398,330,116.0,4,5.0,4.5,9.45,1,0.91,24,18,1
399,312,103.0,3,3.5,4.0,8.78,0,0.67,19,67,1
400,333,,4,5.0,4.0,9.66,1,0.95,21,80,1
